PLAYER,TEAM,GP,spotup_POSS,spotup_FREQ,spotup_PPP,spotup_PTS,spotup_FGM,spotup_FGA,spotup_FG%,spotup_EFG%,spotup_FTFREQ,spotup_TOVFREQ,spotup_SFFREQ,spotup_AND ONEFREQ,spotup_SCOREFREQ,spotup_PERCENTILE
Pascal Siakam,TOR,68,3.5,15.30%,0.98,3.4,1.2,3.1,39.00%,50.70%,6.30%,6.70%,5.90%,1.30%,39.50%,50.4
P.J. Tucker,MIA,71,2.9,39.70%,1.12,3.3,1.2,2.8,42.10%,58.60%,0.50%,4.80%,0.50%,0.00%,40.40%,79.7
Danny Green,PHI,62,3.3,55.10%,1.13,3.7,1.3,3.1,40.50%,59.00%,1.00%,4.40%,0.50%,0.50%,39.00%,80.8
Austin Rivers,DEN,67,2.9,45.40%,1.2,3.4,1.2,2.6,45.60%,63.70%,3.60%,7.30%,3.10%,0.00%,44.30%,90.9
Eric Gordon,HOU,57,3.5,27.10%,1.17,4,1.4,3.1,45.40%,58.60%,8.10%,5.10%,8.10%,1.50%,46.70%,86.4
Reggie Jackson,LAC,75,3.4,17.40%,0.91,3.1,1.1,3.2,32.80%,46.10%,2.40%,3.10%,2.00%,0.40%,33.10%,32.9
D'Angelo Russell,MIN,65,3.5,18.40%,1,3.5,1.2,3.4,36.10%,50.20%,2.60%,2.60%,2.60%,0.90%,36.20%,51.9
Cade Cunningham,DET,64,3.6,17.20%,0.99,3.5,1.3,3.4,36.70%,49.80%,2.20%,3.00%,1.30%,0.00%,37.00%,51.2
Caleb Martin,MIA,60,3.1,36.90%,1.21,3.8,1.3,2.7,48.10%,62.80%,8.60%,7.00%,8.60%,1.10%,48.70%,92.2
Kenyon Martin Jr.,HOU,79,2.8,35.50%,1,2.8,1,2.6,39.20%,51.70%,5.30%,4.40%,5.30%,2.70%,38.70%,53.7
Robert Covington,POR,48,4.8,55.70%,0.98,4.7,1.6,4.4,37.00%,50.90%,2.20%,5.30%,1.80%,0.00%,36.00%,49.8
Lonzo Ball,CHI,35,5.4,39.80%,1.18,6.3,2.1,5.1,42.10%,62.40%,0.00%,5.80%,0.00%,0.00%,39.70%,87.2
Amir Coffey,LAC,69,2.9,36.00%,1.09,3.2,1.1,2.7,39.00%,54.50%,5.00%,3.50%,5.00%,1.00%,40.10%,73.4
Terance Mann,LAC,81,2.5,23.40%,1.11,2.7,1,2.2,45.10%,57.40%,4.00%,5.50%,3.50%,1.00%,43.70%,76.4
Gary Harris,ORL,61,3.3,30.90%,1.09,3.6,1.2,3.1,39.60%,54.90%,2.50%,3.50%,2.50%,1.00%,39.10%,71.9
Kevin Durant,BKN,55,3.6,13.30%,1.12,4,1.4,3.1,44.50%,55.50%,7.70%,5.10%,7.10%,1.00%,45.90%,78.7
Immanuel Quickley,NYK,78,2.9,25.40%,0.95,2.8,0.9,2.6,35.70%,46.20%,8.70%,6.50%,7.80%,1.70%,37.80%,39.9
Jordan Poole,GSW,76,2.7,15.30%,1.05,2.9,1,2.5,39.00%,52.70%,4.80%,5.30%,3.90%,0.50%,39.60%,64.5
Josh Richardson,BOS,44,4.5,48.50%,1.07,4.9,1.7,4.1,40.30%,53.90%,5.00%,5.00%,4.00%,0.50%,41.00%,68.2
Patrick Beverley,MIN,59,3.3,34.30%,1.08,3.6,1.2,3,38.90%,54.60%,7.20%,3.60%,6.20%,0.50%,40.50%,70.2
Tim Hardaway Jr.,DAL,42,5.1,35.00%,0.98,5,1.7,4.8,36.30%,49.30%,3.30%,2.30%,3.30%,0.00%,37.60%,47.9
Obi Toppin,NYK,72,3,37.20%,0.95,2.8,1,2.7,36.00%,47.00%,7.40%,5.10%,7.40%,3.20%,36.40%,39.5
Chris Duarte,IND,55,3.7,26.60%,1.01,3.7,1.2,3.1,39.50%,52.30%,6.40%,8.40%,5.40%,0.00%,39.10%,56.2
Dejounte Murray,SAS,68,3.1,13.90%,0.96,3,1.1,2.9,36.40%,47.70%,5.20%,3.30%,4.20%,1.90%,36.80%,44.6
Davion Mitchell,SAC,75,3,22.50%,0.91,2.7,1,2.8,35.70%,47.60%,1.80%,4.90%,1.80%,0.40%,34.80%,34.5
Derrick White,SAS,49,4,27.00%,1.04,4.1,1.4,3.6,38.50%,52.60%,7.10%,5.60%,6.10%,1.50%,39.30%,62.7
Buddy Hield,SAC,55,3.5,23.50%,1.06,3.7,1.3,3.2,39.30%,56.20%,1.00%,5.80%,1.00%,0.00%,37.70%,65.7
Isaac Okoro,CLE,67,3.1,36.80%,0.98,3,1,2.6,38.10%,51.40%,6.80%,8.30%,5.80%,0.50%,38.80%,49.2
Chimezie Metu,SAC,61,4,44.90%,0.81,3.3,1.1,3.4,32.70%,41.60%,7.30%,8.90%,7.30%,0.40%,34.40%,20
Christian Wood,HOU,68,3,17.60%,0.99,2.9,1,2.6,38.30%,50.60%,5.90%,5.40%,4.40%,0.00%,39.90%,51
Frank Jackson,DET,53,3.8,36.40%,0.98,3.8,1.3,3.5,36.60%,49.20%,4.40%,4.90%,4.40%,0.50%,37.30%,49
Russell Westbrook,LAL,78,2.9,13.10%,0.9,2.6,0.9,2.5,37.60%,47.40%,6.70%,7.20%,6.30%,0.90%,37.20%,31
Jonathan Kuminga,GSW,71,2.6,29.20%,1.09,2.8,0.9,2.2,42.40%,55.70%,9.30%,4.90%,9.30%,1.10%,44.00%,71.5
Gabe Vincent,MIA,68,2.5,27.10%,1.15,2.9,1,2.4,40.40%,57.80%,1.70%,1.70%,1.20%,0.00%,40.70%,83.3
De'Aaron Fox,SAC,59,3.4,14.30%,0.98,3.3,1.2,3,40.00%,48.30%,9.50%,4.50%,9.50%,1.00%,43.30%,48.8
Cody Martin,CHA,71,2.5,34.20%,1.08,2.8,1,2.2,45.90%,58.50%,3.90%,10.50%,3.90%,2.20%,42.00%,70.5
Bones Hyland,DEN,69,2.7,26.30%,1.05,2.8,1,2.5,39.00%,55.80%,1.10%,6.50%,0.50%,0.00%,37.10%,65.1
Nikola Jokic,DEN,74,2.5,10.50%,1.05,2.6,0.9,2.2,43.20%,54.90%,7.00%,7.60%,6.50%,2.20%,42.70%,64.7
Brandon Ingram,NOP,55,3.5,15.20%,1.01,3.5,1.2,3,41.20%,52.70%,7.80%,8.80%,6.70%,2.10%,40.90%,55.4
Chris Boucher,TOR,80,2.4,27.60%,1,2.4,0.8,2.3,35.90%,50.00%,4.60%,3.60%,5.10%,1.50%,36.40%,51.7
Otto Porter Jr.,GSW,63,2.7,35.50%,1.13,3.1,1,2.6,41.00%,56.20%,4.10%,2.30%,2.90%,0.60%,42.10%,80.6
Trae Young,ATL,76,1.9,6.90%,1.34,2.5,0.8,1.6,52.50%,65.20%,13.30%,4.90%,11.20%,3.50%,53.80%,97.7
Duane Washington Jr.,IND,48,3.5,32.50%,1.16,4,1.4,3.3,42.30%,58.30%,4.20%,3.00%,3.60%,1.20%,42.80%,85.1
Jeff Green,DEN,75,2.3,25.60%,1.1,2.5,0.8,2,42.30%,55.40%,9.80%,5.20%,9.80%,0.60%,44.80%,74.2
Nickeil Alexander-Walker,NOP,50,4.1,27.20%,0.92,3.8,1.3,3.9,33.50%,46.40%,2.90%,2.90%,2.40%,0.00%,34.50%,35.9
Mo Bamba,ORL,71,2.7,26.60%,0.97,2.6,0.9,2.5,35.40%,50.80%,1.60%,4.70%,1.60%,0.00%,34.70%,46.9
Justin Holiday,IND,49,4,37.00%,0.96,3.8,1.3,3.7,36.30%,50.80%,1.50%,6.20%,1.00%,0.00%,35.10%,45
Nikola Vucevic,CHI,73,2.8,15.50%,0.9,2.5,1,2.7,36.90%,46.70%,1.00%,4.30%,1.00%,1.00%,35.30%,31.2
Cole Anthony,ORL,66,2.8,15.80%,0.98,2.8,0.8,2.5,33.70%,47.60%,7.50%,4.80%,6.40%,1.10%,36.40%,50.8
Aaron Gordon,DEN,75,2.5,17.60%,0.98,2.4,0.9,2.3,38.20%,51.20%,2.70%,5.90%,2.70%,1.10%,36.40%,48.4
Tre Mann,OKC,60,3,25.90%,1.01,3,1.1,2.7,39.50%,51.90%,4.40%,6.10%,4.40%,0.60%,38.90%,56.6
Rudy Gay,UTA,55,3.5,41.00%,0.95,3.3,1,3.1,33.70%,47.30%,5.80%,5.30%,5.30%,0.00%,35.30%,41.3
Cory Joseph,DET,65,2.4,29.40%,1.16,2.8,1,2.2,44.70%,60.60%,4.50%,6.50%,4.50%,1.90%,43.20%,85.7
Bruce Brown,BKN,72,2.3,26.50%,1.1,2.5,0.9,2,42.50%,54.50%,9.20%,4.30%,8.60%,3.10%,43.60%,74.4
Kyle Lowry,MIA,63,2.5,18.00%,1.13,2.8,1,2.3,43.00%,61.60%,1.30%,8.30%,1.30%,0.00%,40.10%,81.2
Myles Turner,IND,42,3.8,32.70%,1.11,4.2,1.5,3.5,42.20%,55.80%,6.30%,3.10%,5.60%,1.30%,43.80%,77.3
Tyus Jones,MEM,73,2.1,25.00%,1.14,2.4,0.9,2.1,41.70%,57.30%,1.30%,1.90%,1.30%,0.00%,41.70%,81.4
Ziaire Williams,MEM,62,2.9,37.00%,0.98,2.9,1,2.7,37.30%,51.50%,1.10%,4.40%,1.70%,0.00%,36.10%,50.6
Mike Conley,UTA,72,2.1,15.60%,1.14,2.4,0.9,2,44.70%,59.90%,3.30%,4.60%,3.30%,0.70%,43.10%,82.9
Darius Garland,CLE,68,2.6,11.80%,0.98,2.6,0.9,2.4,37.20%,50.90%,2.20%,5.60%,2.20%,0.00%,36.50%,50.2
Kevin Porter Jr.,HOU,61,2.1,11.80%,1.37,2.9,1,1.9,51.30%,73.00%,5.50%,6.30%,5.50%,0.80%,50.40%,98.1
Stephen Curry,GSW,64,2.4,10.10%,1.12,2.7,0.9,2.2,40.00%,53.90%,6.50%,3.20%,4.50%,0.00%,42.60%,78.3
Doug McDermott,SAS,51,3.1,30.10%,1.09,3.4,1.2,2.9,42.90%,56.80%,1.90%,5.70%,1.90%,0.00%,41.50%,71.7
Eric Bledsoe,LAC,54,3,25.50%,1.08,3.2,1.1,2.7,41.40%,54.80%,6.30%,4.40%,6.30%,1.30%,41.90%,69.2
Kyle Anderson,MEM,69,2.6,30.20%,0.98,2.5,0.9,2.3,41.00%,51.00%,5.70%,6.80%,5.10%,1.10%,40.90%,48.2
Damion Lee,GSW,63,2.8,39.30%,0.96,2.7,1,2.7,36.90%,48.80%,3.40%,3.90%,3.40%,1.10%,36.90%,44.2
Gordon Hayward,CHA,49,3.4,21.80%,1.03,3.5,1.3,3.1,40.80%,53.30%,3.60%,5.40%,3.60%,0.60%,40.40%,61.8
R.J. Hampton,ORL,64,2.6,28.20%,1.02,2.7,1,2.4,41.40%,55.30%,3.00%,6.60%,3.00%,0.60%,38.30%,59.3
Payton Pritchard,BOS,71,2.3,38.40%,1.04,2.4,0.8,2.2,37.40%,53.50%,1.20%,3.70%,1.20%,0.60%,36.40%,63.8
Rui Hachimura,WAS,42,4,38.00%,1.01,4,1.5,3.7,40.10%,51.60%,3.60%,4.80%,3.00%,2.40%,38.70%,55.8
Furkan Korkmaz,PHI,67,3,35.50%,0.85,2.5,0.8,2.7,31.10%,42.50%,5.10%,4.00%,4.00%,0.00%,32.80%,24.8
Cam Thomas,BKN,67,2.6,28.50%,0.97,2.5,0.9,2.3,41.40%,48.70%,6.40%,6.40%,6.40%,1.20%,41.90%,46.3
Quentin Grimes,NYK,46,3,51.10%,1.2,3.6,1.2,2.8,43.40%,63.20%,2.20%,5.10%,0.70%,0.70%,42.00%,91.3
Dennis Schroder,BOS,49,3.5,22.60%,0.98,3.4,1.2,3.1,38.00%,51.00%,4.70%,7.10%,4.10%,0.00%,38.20%,47.7
Maxi Kleber,DAL,59,3.3,45.00%,0.85,2.8,0.9,2.9,30.10%,44.20%,4.10%,7.70%,3.60%,0.50%,30.30%,24.4
Wendell Carter Jr.,ORL,62,2.6,18.10%,1.02,2.7,0.9,2.3,40.10%,50.70%,8.60%,5.60%,8.00%,1.90%,41.40%,59.5
Seth Curry,PHI,45,3.7,26.10%,1,3.7,1.4,3.3,43.00%,54.40%,1.20%,9.10%,1.20%,0.60%,39.40%,53.7
Jordan Nwora,MIL,62,2.8,31.90%,0.97,2.7,1,2.5,38.90%,51.90%,1.20%,7.00%,1.20%,0.00%,36.30%,45.3
John Collins,ATL,54,3.3,22.60%,0.91,3,1.1,3,36.00%,46.60%,4.00%,5.70%,3.40%,1.10%,35.80%,33.7
Moritz Wagner,ORL,63,2.8,34.60%,0.91,2.5,0.9,2.5,34.40%,45.50%,6.30%,5.10%,5.70%,0.60%,35.80%,33.7
Jaylen Nowell,MIN,62,2.3,29.20%,1.12,2.6,1,2.1,45.10%,56.00%,5.60%,4.20%,5.60%,3.50%,44.40%,79.5
Eric Paschall,UTA,58,2.5,48.60%,1.1,2.7,0.9,2.1,42.70%,55.60%,9.70%,6.30%,9.70%,2.10%,44.40%,75.8
Jalen McDaniels,CHA,55,2.6,44.40%,1.08,2.8,0.9,2.1,42.40%,55.90%,11.10%,8.30%,9.70%,1.40%,44.40%,70.9
LeBron James,LAL,56,2.7,9.80%,1.03,2.8,0.9,2.5,37.30%,53.50%,2.60%,3.90%,2.60%,0.00%,37.50%,61.2
Scottie Barnes,TOR,74,2.7,17.10%,0.79,2.1,0.8,2.5,32.10%,40.50%,2.50%,5.10%,2.50%,0.50%,31.80%,18
Rodney McGruder,DET,51,2.1,41.80%,1.4,3,1,1.9,53.60%,75.30%,5.50%,5.50%,4.60%,0.00%,53.20%,98.3
