PLAYER,TEAM,GP,spotup_POSS,spotup_FREQ,spotup_PPP,spotup_PTS,spotup_FGM,spotup_FGA,spotup_FG%,spotup_EFG%,spotup_FTFREQ,spotup_TOVFREQ,spotup_SFFREQ,spotup_AND ONEFREQ,spotup_SCOREFREQ,spotup_PERCENTILE
Malcolm Brogdon,IND,36,3.4,17.90%,0.96,3.3,1.2,3.1,38.20%,47.30%,6.50%,5.70%,5.70%,1.60%,39.00%,43.2
Kenrich Williams,OKC,49,2.5,31.70%,0.95,2.4,0.9,2.3,38.10%,51.30%,3.20%,6.50%,3.20%,0.80%,36.30%,41.1
Frank Ntilikina,DAL,58,1.9,41.70%,1.06,2,0.8,1.8,41.90%,54.30%,1.80%,3.60%,1.80%,0.90%,40.90%,66.5
Wesley Matthews,MIL,49,2.5,48.40%,0.96,2.4,0.8,2.3,35.10%,48.60%,4.90%,5.70%,4.10%,1.60%,35.20%,42.8
Gary Payton II,GSW,71,1.5,25.80%,1.09,1.6,0.5,1.5,37.50%,55.80%,0.00%,1.90%,0.00%,0.00%,36.80%,73.6
Shai Gilgeous-Alexander,OKC,56,2.1,8.60%,0.98,2.1,0.7,1.6,42.40%,51.10%,10.90%,11.80%,10.10%,0.00%,42.90%,47.5
Torrey Craig,IND,51,2.5,38.20%,0.91,2.3,0.8,2.4,34.20%,46.70%,2.30%,5.50%,2.30%,1.60%,32.80%,33.1
Raul Neto,WAS,70,1.9,22.90%,0.89,1.7,0.6,1.6,36.90%,45.00%,10.00%,7.70%,9.20%,3.10%,36.90%,30.4
Kristaps Porzingis,DAL,35,3.8,20.90%,0.88,3.3,1.3,3.6,35.20%,44.40%,3.00%,2.30%,2.30%,0.80%,35.60%,28.5
Josh Giddey,OKC,54,3.5,21.40%,0.61,2.1,0.8,3.1,25.10%,34.40%,0.00%,11.20%,0.00%,0.00%,22.30%,5.6
Dillon Brooks,MEM,33,3.2,17.30%,1.07,3.5,1.3,2.8,45.20%,54.80%,7.50%,7.50%,6.50%,1.90%,44.90%,67.1
Lamar Stevens,CLE,63,2.1,34.50%,0.84,1.8,0.7,2,38.20%,45.10%,2.20%,8.10%,2.20%,1.50%,35.60%,24
Maurice Harkless,SAC,47,2.5,51.60%,0.97,2.4,0.8,2.3,36.40%,49.50%,5.20%,5.20%,5.20%,2.60%,36.20%,47.1
Josh Green,DAL,67,1.8,38.30%,0.92,1.7,0.6,1.6,38.50%,48.60%,4.10%,8.10%,4.10%,0.80%,37.40%,35.3
Joshua Primo,SAS,50,2.6,36.50%,0.87,2.2,0.8,2.3,32.80%,45.70%,3.90%,7.80%,3.10%,1.60%,31.80%,26.7
Luka Doncic,DAL,65,2.1,7.20%,0.82,1.7,0.6,1.7,33.60%,42.50%,9.50%,10.90%,10.20%,3.60%,33.60%,20.3
Timothe Luwawu-Cabarrot,ATL,52,2.1,49.60%,0.99,2.1,0.7,1.9,34.70%,49.50%,5.40%,6.30%,5.40%,0.00%,36.00%,51.4
Trey Lyles,DET,51,2.5,25.30%,0.85,2.2,0.7,2.1,35.50%,43.90%,9.30%,10.90%,9.30%,3.10%,34.90%,24.6
Romeo Langford,BOS,44,2.4,48.80%,1.04,2.5,0.9,2.1,41.50%,53.70%,4.80%,5.70%,4.80%,0.00%,41.00%,63
Derrick White,BOS,26,4.3,38.50%,0.97,4.2,1.4,3.8,36.40%,49.00%,7.10%,6.30%,6.30%,1.80%,37.50%,46.5
Joe Ingles,UTA,45,2.5,33.60%,0.96,2.4,0.8,2.4,34.60%,50.50%,0.90%,5.30%,0.90%,0.00%,33.30%,42.1
Robert Covington,LAC,23,3.6,43.70%,1.3,4.7,1.5,3.3,45.30%,66.00%,4.80%,4.80%,4.80%,0.00%,45.80%,96.7
Spencer Dinwiddie,WAS,44,2.4,16.90%,1.02,2.5,0.9,2.2,39.20%,53.60%,3.80%,4.70%,2.80%,0.00%,38.70%,59.7
CJ McCollum,NOP,26,3.2,13.80%,1.31,4.1,1.5,2.8,52.70%,67.60%,7.30%,2.40%,6.10%,0.00%,54.90%,97.1
Moses Moody,GSW,52,1.8,45.20%,1.13,2.1,0.7,1.7,43.30%,57.80%,2.10%,3.20%,2.10%,0.00%,43.20%,80.2
Zeke Nnaji,DEN,41,2.1,35.30%,1.25,2.6,0.8,1.8,44.60%,62.80%,11.80%,2.40%,10.60%,1.20%,47.10%,94
Delon Wright,ATL,77,1.2,27.70%,1.12,1.4,0.5,1.1,42.40%,55.90%,6.30%,4.20%,5.30%,0.00%,44.20%,78.1
Ty Jerome,OKC,48,2.7,33.50%,0.82,2.2,0.8,2.6,32.00%,42.40%,0.00%,3.10%,0.00%,0.00%,31.00%,20.7
Jalen Suggs,ORL,48,3.2,20.00%,0.69,2.2,0.8,2.7,28.10%,36.30%,6.50%,11.10%,6.50%,1.30%,28.10%,9.7
Mike Muscala,OKC,43,2.1,31.80%,1.15,2.4,0.7,2,36.80%,53.40%,4.40%,0.00%,4.40%,0.00%,39.60%,84.8
Evan Mobley,CLE,69,2.3,15.00%,0.65,1.5,0.6,2,28.10%,32.70%,6.20%,9.30%,6.20%,1.90%,28.60%,7.2
Trey Lyles,SAC,24,3.6,38.80%,1.18,4.3,1.5,3.2,46.80%,57.10%,13.80%,2.30%,12.60%,4.60%,50.60%,89.1
Bradley Beal,WAS,40,2.9,11.60%,0.9,2.6,0.9,2.6,34.90%,44.30%,4.30%,4.30%,4.30%,0.90%,35.70%,30.6
Aaron Nesmith,BOS,52,2.3,54.10%,0.86,2,0.7,2.1,32.40%,43.20%,4.20%,5.80%,4.20%,2.50%,31.70%,25.4
James Johnson,BKN,62,2,32.40%,0.84,1.7,0.6,1.8,33.60%,42.30%,7.40%,4.10%,6.60%,1.60%,36.10%,23.8
Kessler Edwards,BKN,49,2.6,39.70%,0.82,2.1,0.7,2.2,31.80%,44.10%,3.20%,9.60%,2.40%,0.80%,30.40%,21.3
Ricky Rubio,CLE,34,3.3,20.40%,0.91,3,1.1,3,35.30%,48.50%,1.80%,7.20%,0.90%,0.90%,33.30%,34.1
Alperen Sengun,HOU,72,1.9,17.80%,0.73,1.4,0.5,1.5,31.50%,38.70%,8.70%,12.30%,5.80%,1.40%,32.60%,12.4
Donte DiVincenzo,SAC,25,3.7,32.30%,1.09,4,1.4,3.4,40.50%,59.50%,0.00%,8.70%,0.00%,0.00%,37.00%,71.3
Facundo Campazzo,DEN,65,1.6,26.70%,0.94,1.5,0.5,1.5,33.00%,47.90%,3.80%,5.70%,2.80%,0.90%,33.00%,39.1
George Hill,MIL,54,2.1,33.10%,0.88,1.8,0.6,1.9,33.30%,48.00%,0.90%,8.80%,0.90%,0.00%,31.00%,27.9
Dylan Windler,CLE,30,1.5,51.80%,1.16,1.7,0.5,1.2,43.20%,63.50%,4.50%,11.40%,2.30%,0.00%,40.90%,84.6
Jimmy Butler,MIA,58,2.1,10.40%,0.82,1.7,0.6,1.8,30.80%,38.50%,10.10%,4.20%,10.10%,1.70%,35.30%,21
Davon Reed,DEN,48,1.8,46.40%,1.14,2,0.7,1.7,43.80%,59.40%,1.20%,4.70%,1.20%,0.00%,42.40%,82.6
Danuel House Jr.,UTA,25,3.2,51.00%,1.22,3.8,1.1,2.8,40.00%,57.90%,11.40%,1.30%,11.40%,1.30%,45.60%,92.6
LaMarcus Aldridge,BKN,47,1.9,16.10%,1.09,2,0.9,1.8,48.80%,52.90%,4.60%,0.00%,4.60%,3.40%,49.40%,72.7
Paul George,LAC,31,2.5,9.40%,1.22,3,1,2.2,47.80%,65.70%,3.90%,9.10%,3.90%,0.00%,45.50%,93
Gorgui Dieng,ATL,12,1.1,31.70%,0.39,0.4,0.2,0.9,18.20%,22.70%,0.00%,15.00%,0.00%,0.00%,15.40%,2.2
Jeremy Lamb,IND,39,2.2,29.60%,1.11,2.4,0.7,1.9,38.70%,54.70%,7.10%,4.80%,7.10%,1.20%,40.50%,76.6
Jose Alvarado,NOP,54,1.7,26.00%,1,1.7,0.6,1.6,37.10%,50.60%,2.20%,2.20%,2.20%,0.00%,37.60%,53.7
Juan Toscano-Anderson,GSW,73,1.4,29.60%,0.94,1.3,0.5,1.2,38.60%,52.30%,2.00%,9.10%,2.00%,0.00%,35.40%,37.8
Matt Thomas,CHI,40,1.9,50.70%,1.21,2.3,0.8,1.8,47.90%,63.40%,2.60%,5.30%,2.60%,1.30%,46.10%,92.4
Isaiah Roby,OKC,45,2,21.40%,1.02,2,0.7,1.7,44.00%,57.30%,10.00%,7.80%,10.00%,1.10%,41.10%,60.4
Sam Merrill,MEM,5,2,38.00%,0.9,2,0.6,2,30.00%,45.00%,0.00%,0.00%,0.00%,0.00%,30.00%,40
Tre Jones,SAS,69,1.4,22.50%,0.97,1.3,0.5,1.2,42.20%,46.40%,10.50%,4.20%,9.50%,2.10%,44.20%,45.9
Spencer Dinwiddie,DAL,23,2.8,20.00%,1.42,4,1.4,2.6,55.00%,71.70%,6.30%,3.10%,6.30%,3.10%,54.70%,98.4
Kemba Walker,NYK,37,2.4,19.60%,1.05,2.5,0.8,2.2,38.30%,51.90%,4.60%,2.30%,4.60%,0.00%,40.20%,64.1
Terence Davis,SAC,30,3.4,32.40%,0.89,3,1.1,3.1,34.80%,47.80%,2.90%,7.80%,2.00%,1.00%,33.30%,30.2
Josh Jackson,DET,39,3,37.20%,0.78,2.3,0.8,2.7,30.20%,40.10%,3.40%,5.20%,2.60%,0.00%,31.00%,17.6
Seth Curry,BKN,19,3.7,29.00%,1.29,4.7,1.6,3.4,46.20%,66.90%,2.90%,5.70%,2.90%,1.40%,44.30%,96.1
DeAndre' Bembry,BKN,48,1.7,31.40%,1.1,1.9,0.7,1.5,48.60%,58.60%,6.10%,9.80%,3.70%,1.20%,46.30%,74
Jeremiah Robinson-Earl,OKC,49,2.2,27.20%,0.85,1.8,0.6,2,31.30%,44.40%,1.90%,4.70%,1.90%,0.00%,30.20%,24.2
Blake Griffin,BKN,56,1.8,26.60%,0.87,1.6,0.6,1.8,31.60%,44.40%,0.00%,2.00%,0.00%,0.00%,31.00%,27.3
Brandon Boston Jr.,LAC,51,2,26.20%,0.86,1.7,0.6,1.7,37.50%,45.50%,6.90%,6.90%,5.90%,1.00%,37.60%,25.8
Chris Paul,PHX,65,1.4,9.10%,0.96,1.3,0.5,1.2,39.20%,48.70%,5.60%,6.70%,5.60%,1.10%,39.30%,41.9
Jonas Valanciunas,NOP,74,1.1,6.70%,1,1.1,0.4,1,43.10%,53.50%,4.80%,9.60%,4.80%,1.20%,41.00%,53.7
Josh Richardson,SAS,21,4.1,37.70%,0.95,4,1.3,3.9,33.30%,46.90%,3.40%,3.40%,3.40%,0.00%,34.50%,41.7
Draymond Green,GSW,46,2,20.50%,0.92,1.8,0.7,1.5,42.30%,51.40%,7.80%,13.30%,7.80%,0.00%,41.10%,35.7
Davis Bertans,WAS,34,2.1,35.90%,1.17,2.4,0.7,1.9,38.50%,56.90%,4.30%,2.90%,4.30%,0.00%,40.00%,87
Aaron Holiday,WAS,41,2.1,32.20%,0.95,2,0.8,1.9,43.60%,51.30%,2.30%,8.10%,1.20%,1.20%,40.70%,41.5
Svi Mykhailiuk,TOR,56,1.6,32.40%,0.89,1.4,0.5,1.4,33.80%,47.50%,3.30%,8.80%,3.30%,0.00%,33.00%,30
Vit Krejci,OKC,30,2.6,37.90%,1.03,2.7,0.9,2.2,38.80%,55.20%,5.10%,10.30%,5.10%,1.30%,37.20%,61
Armoni Brooks,HOU,41,2.2,33.00%,0.87,2,0.7,2.1,31.00%,43.70%,3.30%,3.30%,3.30%,1.10%,31.50%,27.1
Killian Tillie,MEM,36,2.1,51.40%,1.07,2.2,0.8,2,37.50%,54.90%,0.00%,2.70%,0.00%,0.00%,36.50%,67.6
Kelly Olynyk,DET,40,2,21.00%,0.96,2,0.7,1.9,36.40%,49.40%,2.50%,2.50%,2.50%,0.00%,35.80%,44.8
Tyrese Haliburton,IND,26,2.6,15.20%,1.15,3,1,2.1,47.30%,61.80%,7.50%,10.40%,6.00%,0.00%,46.30%,83.9
Jaxson Hayes,NOP,70,1,13.40%,1.09,1.1,0.4,0.9,41.50%,53.80%,5.60%,2.80%,5.60%,0.00%,43.70%,71.1
Patrick Williams,CHI,17,2.9,36.80%,1.52,4.5,1.6,2.6,62.20%,76.70%,10.00%,4.00%,8.00%,4.00%,62.00%,99.2
James Harden,BKN,44,1.6,6.80%,1.06,1.7,0.6,1.4,41.00%,55.70%,6.90%,8.30%,6.90%,0.00%,41.70%,65.3
Naji Marshall,NOP,55,2.2,34.10%,0.63,1.4,0.5,1.9,23.60%,31.10%,5.00%,8.30%,5.00%,0.80%,24.80%,6.2
Derrick Rose,NYK,26,2.7,21.40%,1.07,2.9,1.1,2.6,42.60%,55.10%,0.00%,2.90%,0.00%,0.00%,41.40%,68.5
Lou Williams,ATL,56,1.3,18.60%,1.01,1.3,0.5,1.3,38.90%,52.10%,0.00%,2.70%,0.00%,0.00%,37.80%,58.1
Anthony Davis,LAL,40,2.5,11.40%,0.75,1.9,0.7,2.1,34.10%,39.40%,9.00%,9.00%,9.00%,3.00%,34.00%,15
Trey Burke,DAL,42,1.6,26.60%,1.1,1.8,0.6,1.5,42.20%,55.50%,3.00%,1.50%,3.00%,0.00%,41.80%,76
David Nwaba,HOU,46,1.6,32.20%,1,1.6,0.5,1.3,38.30%,49.20%,14.90%,5.40%,13.50%,1.40%,44.60%,53.7
Brandon Clarke,MEM,64,1.2,14.30%,0.97,1.2,0.5,1.1,44.90%,48.60%,7.90%,5.30%,7.90%,3.90%,43.40%,46.7
Skylar Mays,ATL,19,1.8,49.30%,0.94,1.7,0.6,1.7,36.40%,48.50%,0.00%,2.90%,0.00%,0.00%,35.30%,43
Sterling Brown,DAL,49,1.8,47.60%,0.84,1.5,0.6,1.6,35.40%,45.60%,1.10%,9.10%,1.10%,0.00%,33.00%,23.3
Torrey Craig,PHX,27,3.1,43.60%,0.86,2.7,1,2.9,33.80%,46.80%,1.20%,8.20%,1.20%,0.00%,31.80%,25.6
Jevon Carter,BKN,46,1.6,36.90%,0.96,1.6,0.5,1.6,33.80%,48.60%,0.00%,1.30%,0.00%,0.00%,33.30%,43.6
Yuta Watanabe,TOR,38,2,43.10%,0.96,1.9,0.7,1.9,35.20%,48.60%,4.00%,2.70%,4.00%,1.30%,36.00%,43.6
Jordan McLaughlin,MIN,62,1.3,30.50%,0.91,1.2,0.4,1.2,36.10%,47.90%,3.80%,6.30%,3.80%,1.30%,35.40%,34.7
Lance Stephenson,IND,40,2,19.40%,0.9,1.8,0.7,1.9,36.50%,45.30%,5.00%,3.80%,5.00%,1.30%,37.50%,31.7
Jarrett Culver,MEM,21,1.3,26.20%,1.04,1.3,0.5,1.2,42.30%,53.80%,3.70%,3.70%,3.70%,3.70%,40.70%,65.9
Lindy Waters III,OKC,24,3,39.50%,0.96,2.9,1,2.9,34.30%,50.00%,0.00%,4.10%,0.00%,0.00%,32.90%,42.6
Domantas Sabonis,IND,47,2,11.40%,0.74,1.5,0.5,1.6,28.90%,40.80%,7.40%,12.60%,7.40%,0.00%,28.40%,13
Kelan Martin,IND,27,2.9,41.50%,0.89,2.6,1,2.6,38.00%,47.20%,2.60%,7.70%,2.60%,1.30%,35.90%,29.5
Jalen Smith,IND,22,3.2,27.80%,0.96,3.1,1.1,3,36.90%,50.00%,1.40%,7.00%,1.40%,0.00%,35.20%,42.4
Kevin Knox II,NYK,10,2.7,57.40%,0.78,2.1,0.7,2.4,29.20%,41.70%,3.70%,7.40%,3.70%,0.00%,29.60%,17.3
Keita Bates-Diop,SAS,59,1.6,27.80%,0.73,1.2,0.4,1.4,31.30%,38.80%,4.30%,10.80%,4.30%,1.10%,30.10%,12.2
Gary Clark,NOP,37,1.6,56.20%,1.14,1.8,0.6,1.5,41.10%,58.90%,1.70%,3.40%,1.70%,0.00%,40.70%,81.6
JaMychal Green,DEN,67,1,15.60%,1,1,0.4,1,36.40%,50.80%,0.00%,1.50%,0.00%,0.00%,35.80%,53.7
Jock Landale,SAS,54,1,22.20%,1.18,1.2,0.4,1,40.70%,58.30%,3.60%,0.00%,3.60%,0.00%,42.90%,88
Joe Harris,BKN,14,4.4,43.70%,1.07,4.7,1.7,4.1,41.40%,56.90%,0.00%,6.50%,0.00%,0.00%,38.70%,66.9
Tony Snell,POR,38,1.8,63.30%,0.96,1.7,0.6,1.7,33.80%,50.00%,1.40%,5.80%,1.40%,1.40%,31.90%,42.2
Admiral Schofield,ORL,38,1.9,47.10%,0.92,1.7,0.6,1.8,35.30%,47.10%,1.40%,4.20%,1.40%,0.00%,34.70%,35.1
Kristaps Porzingis,WAS,17,3.7,18.50%,1.02,3.8,1.4,3.3,42.90%,52.70%,4.80%,7.90%,4.80%,1.60%,41.30%,58.9
Kent Bazemore,LAL,39,1.9,42.90%,0.86,1.6,0.6,1.7,32.80%,46.30%,1.40%,6.80%,1.40%,0.00%,31.50%,26
JT Thor,CHA,23,1.5,53.80%,1.06,1.6,0.5,1.3,41.40%,53.40%,11.40%,5.70%,14.30%,2.90%,42.90%,65.9
Damian Lillard,POR,29,2.1,8.40%,1.02,2.1,0.7,2,35.60%,50.80%,1.70%,1.70%,1.70%,1.70%,35.00%,59.1
Caris LeVert,CLE,19,3.2,21.30%,1,3.2,1.2,2.7,43.10%,56.90%,4.90%,11.50%,4.90%,0.00%,39.30%,53.7
Ignas Brazdeikis,ORL,42,1.6,30.50%,0.91,1.5,0.5,1.5,36.10%,48.40%,3.00%,6.00%,1.50%,0.00%,34.30%,34.3
Marvin Bagley III,SAC,30,2.8,29.10%,0.74,2,0.8,2.6,30.80%,38.50%,3.60%,6.00%,3.60%,3.60%,28.90%,12.8
Anthony Gill,WAS,44,1,30.50%,1.3,1.4,0.5,0.9,50.00%,61.30%,15.20%,2.20%,13.00%,4.30%,54.30%,96.9
Derrick Jones Jr.,CHI,51,1.5,30.10%,0.78,1.2,0.4,1.3,29.40%,41.90%,2.60%,9.10%,1.30%,0.00%,28.60%,16.7
Sandro Mamukelashvili,MIL,29,0.9,25.80%,0.96,0.8,0.3,0.8,33.30%,47.90%,4.00%,0.00%,4.00%,0.00%,36.00%,47.6
Malachi Flynn,TOR,44,1.1,23.80%,1.2,1.3,0.5,1.1,42.60%,61.70%,2.00%,4.10%,2.00%,2.00%,40.80%,91.5
DeMarcus Cousins,DEN,31,1.7,16.80%,1.11,1.9,0.7,1.5,44.70%,56.40%,13.20%,5.70%,13.20%,7.50%,45.30%,77.7
Josh Okogie,MIN,49,1.2,41.20%,0.97,1.2,0.4,1.1,34.00%,45.30%,14.80%,3.30%,14.80%,4.90%,39.30%,45.7
Terry Taylor,IND,33,1.8,23.10%,0.95,1.8,0.7,1.7,39.30%,48.20%,4.90%,3.30%,4.90%,0.00%,41.00%,40.7
Isaiah Livers,DET,19,2.9,49.50%,0.98,2.8,1,2.6,38.80%,53.10%,3.60%,9.10%,3.60%,1.80%,36.40%,49.5
Juancho Hernangomez,UTA,16,2.8,50.60%,1.18,3.3,1.1,2.6,41.50%,61.00%,4.40%,4.40%,4.40%,0.00%,42.20%,87.8
Tony Snell,NOP,15,3.1,58.20%,1.15,3.5,1.2,2.8,42.90%,63.10%,0.00%,8.70%,0.00%,0.00%,39.10%,84.3
Justin Holiday,SAC,25,2.8,29.90%,0.74,2.1,0.7,2.6,28.10%,39.80%,1.40%,7.10%,1.40%,0.00%,27.10%,13.6
Josh Hart,POR,13,3.4,18.70%,1.16,3.9,1.5,3.2,47.60%,57.10%,6.80%,2.30%,6.80%,4.50%,47.70%,85.3
Serge Ibaka,LAC,35,1.4,20.90%,1.02,1.5,0.5,1.4,37.50%,53.10%,0.00%,4.00%,0.00%,0.00%,36.00%,59.9
Rodney Hood,MIL,39,1.8,48.60%,0.73,1.3,0.4,1.7,26.20%,36.20%,2.90%,4.30%,2.90%,0.00%,27.10%,12
Brandon Goodwin,CLE,36,1.2,20.80%,1.19,1.4,0.5,1.1,47.40%,61.80%,2.40%,7.10%,2.40%,0.00%,45.20%,90.3
Bam Adebayo,MIA,56,0.9,4.90%,1,0.9,0.4,0.8,52.40%,52.40%,8.00%,10.00%,8.00%,2.00%,50.00%,53.7
Brandon Williams,POR,24,3.1,19.30%,0.68,2.1,0.7,2.9,24.30%,32.90%,2.70%,2.70%,2.70%,0.00%,25.70%,8.5
Keifer Sykes,IND,32,2.1,28.90%,0.73,1.5,0.5,2,27.00%,38.10%,0.00%,4.50%,0.00%,0.00%,25.80%,11.8
D.J. Augustin,HOU,34,1,16.90%,1.42,1.4,0.5,1,48.50%,71.20%,0.00%,0.00%,0.00%,0.00%,48.50%,98.6
James Harden,PHI,21,2,9.60%,1.12,2.2,0.8,1.8,44.70%,56.60%,4.80%,4.80%,4.80%,0.00%,45.20%,78.9
Isaiah Stewart,DET,71,0.7,8.00%,0.96,0.7,0.3,0.7,39.60%,49.00%,2.00%,2.00%,2.00%,2.00%,38.80%,43
Daniel Theis,HOU,26,2.4,27.60%,0.75,1.8,0.6,2.3,27.10%,39.00%,1.60%,4.80%,1.60%,0.00%,27.00%,14.5
Isaiah Thomas,CHA,17,2.6,32.80%,1.02,2.7,1.1,2.6,40.90%,52.30%,0.00%,2.20%,0.00%,0.00%,40.00%,60.4
Ish Smith,CHA,37,1.3,20.50%,0.98,1.2,0.5,1.1,45.20%,52.40%,2.10%,8.50%,2.10%,0.00%,42.60%,48.6
Larry Nance Jr.,POR,37,1.6,23.50%,0.79,1.2,0.4,1.4,28.80%,42.30%,1.70%,8.60%,1.70%,0.00%,27.60%,18.4
Theo Pinson,DAL,9,1.8,55.20%,0.75,1.3,0.4,1.7,26.70%,40.00%,0.00%,6.30%,0.00%,0.00%,25.00%,15.3
Greg Brown III,POR,48,1.4,26.00%,0.7,1,0.4,1.2,29.80%,40.40%,0.00%,13.60%,0.00%,0.00%,25.80%,10.1
Andre Iguodala,GSW,31,2,38.60%,0.74,1.5,0.5,2,26.20%,36.90%,0.00%,0.00%,0.00%,0.00%,26.20%,13.2
D.J. Augustin,LAL,21,1.4,29.30%,1.52,2.1,0.7,1.4,51.70%,75.90%,0.00%,0.00%,0.00%,0.00%,51.70%,99
James Bouknight,CHA,30,1.3,23.20%,1.1,1.4,0.4,1.1,39.40%,53.00%,12.80%,5.10%,12.80%,2.60%,43.60%,75.7
Taj Gibson,NYK,52,0.7,15.90%,1.26,0.8,0.3,0.6,45.50%,63.60%,2.90%,2.90%,2.90%,0.00%,45.70%,95
Trendon Watford,POR,48,1.1,15.30%,0.78,0.9,0.3,1,33.30%,37.50%,11.10%,3.70%,11.10%,3.70%,35.20%,16.5
Jusuf Nurkic,POR,56,0.9,5.70%,0.84,0.7,0.3,0.8,32.60%,42.40%,4.10%,2.00%,4.10%,0.00%,34.70%,22.7
Marvin Bagley III,DET,18,2.8,21.00%,0.8,2.3,0.8,2.5,31.10%,38.90%,9.80%,2.00%,9.80%,0.00%,35.30%,19.2
P.J. Dozier,DEN,18,2,30.30%,1.11,2.2,0.7,1.8,39.40%,56.10%,5.60%,2.80%,5.60%,0.00%,41.70%,77.1
Rajon Rondo,CLE,21,1.9,26.20%,1.03,1.9,0.6,1.7,37.10%,54.30%,2.60%,7.70%,2.60%,0.00%,35.90%,61
Miles McBride,NYK,13,0.9,22.60%,0.58,0.5,0.2,0.9,25.00%,29.20%,0.00%,0.00%,0.00%,0.00%,25.00%,8.1
Markieff Morris,MIA,17,2.9,35.50%,0.82,2.4,0.8,2.6,31.80%,45.50%,0.00%,10.20%,0.00%,0.00%,28.60%,20.2
Justin Anderson,IND,13,3.8,51.00%,0.78,3,1.1,3.7,29.20%,37.50%,6.00%,2.00%,6.00%,4.00%,30.00%,16.9
Jeremy Lamb,SAC,17,2.3,27.90%,0.97,2.2,0.8,2.2,37.80%,51.40%,0.00%,5.10%,0.00%,0.00%,35.90%,47.3
Justise Winslow,LAC,37,1.5,27.30%,0.7,1,0.4,1.3,34.00%,39.40%,1.90%,11.10%,1.90%,0.00%,31.50%,10.9
Jevon Carter,MIL,20,1.2,26.40%,1.54,1.9,0.7,1.2,54.20%,77.10%,0.00%,0.00%,0.00%,0.00%,54.20%,99.4
DeMarcus Cousins,MIL,17,2.3,26.50%,0.95,2.2,0.8,2.2,35.10%,44.60%,7.70%,2.60%,7.70%,5.10%,35.90%,40.1
Davis Bertans,DAL,22,2.1,40.70%,0.8,1.7,0.5,1.9,28.60%,41.70%,2.20%,6.50%,0.00%,0.00%,28.30%,19.4
Dwight Powell,DAL,82,0.6,8.30%,0.8,0.5,0.2,0.5,31.00%,40.50%,4.30%,4.30%,6.50%,2.20%,30.40%,19.4
Keljin Blevins,POR,31,1.3,29.30%,0.92,1.2,0.4,1.2,34.20%,47.40%,0.00%,2.60%,0.00%,0.00%,33.30%,36.2
Donte DiVincenzo,MIL,17,2.7,28.90%,0.78,2.1,0.6,2.3,28.20%,39.70%,6.50%,8.70%,2.20%,0.00%,30.40%,17.3
Aaron Holiday,PHX,22,1.5,19.90%,1.06,1.6,0.6,1.4,45.20%,53.20%,3.00%,3.00%,3.00%,0.00%,45.50%,66.3
Isaiah Hartenstein,LAC,68,0.6,7.50%,0.92,0.5,0.2,0.5,38.20%,48.50%,5.30%,5.30%,5.30%,0.00%,36.80%,35.5
Ish Smith,WAS,28,1.5,14.50%,0.83,1.3,0.5,1.5,31.70%,42.70%,0.00%,2.40%,0.00%,0.00%,31.00%,22
Justise Winslow,POR,11,4.3,34.10%,0.75,3.2,1.1,3.9,27.90%,39.50%,4.30%,4.30%,4.30%,0.00%,27.70%,14.3
Dalano Banton,TOR,64,0.8,18.20%,0.7,0.5,0.2,0.7,28.90%,38.90%,0.00%,10.00%,0.00%,0.00%,26.00%,10.3
Brook Lopez,MIL,13,2.6,22.20%,1,2.6,0.8,2.5,34.40%,50.00%,2.90%,2.90%,2.90%,0.00%,35.30%,53.7
Mason Plumlee,CHA,73,0.5,6.80%,1,0.5,0.2,0.4,59.30%,59.30%,5.90%,17.60%,5.90%,2.90%,50.00%,53.7
Trevor Ariza,LAL,24,2.5,51.70%,0.56,1.4,0.5,2.3,22.20%,31.50%,1.60%,9.80%,0.00%,0.00%,19.70%,4.3
KZ Okpala,MIA,21,1.4,37.20%,1.14,1.6,0.6,1.4,41.40%,56.90%,0.00%,0.00%,0.00%,0.00%,41.40%,82.2
Serge Ibaka,MIL,19,1.6,25.40%,1.1,1.7,0.6,1.4,44.40%,57.40%,3.30%,6.70%,3.30%,0.00%,43.30%,75
Kyle Guy,MIA,18,1.1,23.50%,1.16,1.2,0.4,1,44.40%,61.10%,0.00%,5.30%,0.00%,0.00%,42.10%,83
Dennis Schroder,HOU,15,2.3,17.40%,0.97,2.2,0.6,1.9,32.10%,44.60%,11.80%,5.90%,11.80%,0.00%,38.20%,46.1
Kira Lewis Jr.,NOP,24,1.6,21.60%,0.87,1.4,0.5,1.5,36.10%,45.80%,0.00%,5.30%,0.00%,0.00%,34.20%,26.9
Damian Jones,SAC,56,0.6,8.10%,1.03,0.6,0.2,0.5,37.90%,50.00%,6.50%,3.20%,6.50%,3.20%,38.70%,62
Saben Lee,DET,37,1.2,18.70%,0.7,0.9,0.3,1.1,28.60%,35.70%,2.20%,6.50%,0.00%,0.00%,28.30%,9.9
Goran Dragic,BKN,16,3.1,30.60%,0.65,2,0.8,2.9,26.10%,34.80%,0.00%,6.10%,0.00%,0.00%,24.50%,7.8
JaVale McGee,PHX,74,0.4,4.90%,1.03,0.4,0.2,0.4,48.30%,51.70%,6.70%,3.30%,6.70%,6.70%,46.70%,62.2
Goga Bitadze,IND,50,1,14.50%,0.63,0.6,0.2,1,22.90%,32.30%,0.00%,2.00%,0.00%,0.00%,22.40%,6.6
