PLAYER,TEAM,GP,pnr_handler_POSS,pnr_handler_FREQ,pnr_handler_PPP,pnr_handler_PTS,pnr_handler_FGM,pnr_handler_FGA,pnr_handler_FG%,pnr_handler_EFG%,pnr_handler_FTFREQ,pnr_handler_TOVFREQ,pnr_handler_SFFREQ,pnr_handler_ANDONEFREQ,pnr_handler_SCOREFREQ,pnr_handler_PERCENTILE
CJ McCollum,POR,36,6.6,31.10%,1.02,6.7,2.7,5.8,46.90%,55.30%,4.60%,9.70%,4.20%,1.70%,43.50%,86.3
Devonte' Graham,NOP,76,4,31.60%,0.79,3.2,1,3.2,32.90%,40.00%,9.40%,14.00%,7.50%,1.60%,33.60%,34.2
Dennis Schroder,BOS,49,5.5,35.70%,0.89,4.9,2,4.2,46.80%,50.00%,8.60%,17.50%,6.70%,2.60%,41.80%,63.4
Kyle Lowry,MIA,63,3.9,28.20%,0.95,3.7,1.2,2.8,42.90%,50.90%,13.80%,17.10%,10.60%,2.00%,42.30%,76.8
Jimmy Butler,MIA,58,4.3,21.90%,0.92,4,1.3,2.9,42.90%,43.20%,20.00%,13.60%,18.00%,1.60%,46.80%,70.5
Tre Mann,OKC,60,4.7,40.10%,0.8,3.7,1.5,3.9,39.10%,45.70%,4.30%,14.00%,4.30%,1.80%,34.80%,40.8
Jaylen Brown,BOS,66,3.7,16.20%,0.9,3.3,1.3,2.8,44.70%,50.80%,8.10%,16.20%,6.90%,0.40%,40.90%,65.2
Kemba Walker,NYK,37,6.1,50.60%,0.96,5.9,2.1,5.1,41.80%,50.50%,7.10%,10.70%,6.20%,1.80%,40.40%,79.8
Raul Neto,WAS,70,3.2,39.70%,0.96,3.1,1.2,2.5,50.00%,53.40%,9.30%,15.10%,7.60%,1.80%,46.20%,77.7
Tobias Harris,PHI,73,2.8,16.50%,1.06,2.9,1.2,2.4,51.70%,53.40%,9.00%,7.00%,8.50%,2.50%,51.20%,90.5
Derrick White,SAS,49,4.6,31.20%,0.94,4.3,1.6,3.6,45.70%,49.70%,10.60%,13.70%,9.70%,1.80%,43.80%,74.7
Seth Curry,PHI,45,4.7,33.50%,0.99,4.6,1.9,4,48.00%,54.50%,4.20%,12.70%,2.80%,1.40%,43.40%,82.4
Kyrie Irving,BKN,29,7.3,29.00%,0.98,7.2,2.8,6.2,45.80%,52.00%,6.10%,11.70%,5.60%,1.90%,42.70%,81.5
Monte Morris,DEN,75,3.1,26.30%,0.88,2.7,1.3,2.7,45.60%,47.80%,2.10%,10.30%,2.10%,0.90%,41.60%,61.9
Josh Giddey,OKC,54,5.8,35.40%,0.65,3.7,1.6,4.2,39.10%,40.40%,4.20%,24.10%,3.90%,0.60%,31.80%,17.9
Lonnie Walker IV,SAS,70,3,23.60%,0.94,2.9,1.1,2.6,42.30%,45.10%,10.30%,5.60%,10.30%,1.40%,45.10%,75
Tyrese Haliburton,IND,26,7.7,45.20%,1,7.7,2.8,5.5,50.00%,56.90%,11.00%,18.50%,10.00%,2.00%,45.00%,83.6
Terry Rozier,CHA,73,3.2,17.70%,0.84,2.7,1.1,2.7,40.10%,43.70%,7.70%,11.50%,6.80%,3.40%,38.00%,51.5
