PLAYER,TEAM,GP,transition_POSS,transition_FREQ,transition_PPP,transition_PTS,transition_FGM,transition_FGA,transition_FG%,transition_EFG%,transition_FTFREQ,transition_TOVFREQ,transition_SFFREQ,transition_AND ONEFREQ,transition_SCOREFREQ,transition_PERCENTILE
Monte Morris,DEN,75,2.1,18.20%,1.11,2.4,0.9,1.9,50.70%,58.90%,6.20%,8.70%,6.20%,1.90%,47.80%,47.3
Evan Fournier,NYK,80,1.9,13.80%,1.16,2.2,0.8,1.7,47.80%,62.30%,5.90%,7.80%,5.90%,1.30%,45.10%,56.1
Jerami Grant,DET,47,3.1,16.30%,1.21,3.7,1.2,2.4,52.30%,61.70%,17.90%,8.30%,17.20%,2.80%,54.50%,67.9
OG Anunoby,TOR,48,2.7,15.40%,1.37,3.6,1.5,2.3,65.70%,72.20%,10.90%,7.00%,10.20%,2.30%,64.10%,89
Gary Harris,ORL,61,2.1,19.60%,1.36,2.9,1,1.7,55.80%,70.70%,12.50%,7.80%,10.90%,1.60%,56.30%,87.2
Ziaire Williams,MEM,62,2.2,27.80%,1.28,2.8,1.1,2,57.90%,65.70%,8.90%,5.20%,8.10%,3.70%,56.30%,79
Royce O'Neale,UTA,77,1.7,24.40%,1.28,2.2,0.8,1.4,59.60%,72.50%,7.50%,14.30%,5.30%,3.80%,52.60%,78.4
Jalen Suggs,ORL,48,3.9,24.20%,0.92,3.5,1.3,2.8,45.90%,48.10%,14.10%,13.50%,13.00%,0.50%,47.00%,17.8
Obi Toppin,NYK,72,1.6,19.30%,1.5,2.3,0.9,1.3,73.10%,75.80%,14.20%,5.30%,13.30%,1.80%,72.60%,95.2
Julius Randle,NYK,72,2.5,10.90%,0.93,2.3,0.8,1.5,53.80%,58.00%,20.40%,24.90%,16.60%,3.90%,46.40%,18.2
Grayson Allen,MIL,66,2,20.60%,1.26,2.5,0.9,1.7,52.30%,67.10%,7.60%,10.60%,6.80%,2.30%,49.20%,76.5
Cody Martin,CHA,71,1.9,25.30%,1.24,2.3,0.9,1.5,60.20%,65.00%,14.90%,9.70%,11.90%,1.50%,59.70%,72.9
Lonnie Walker IV,SAS,70,2.4,18.60%,0.96,2.3,0.9,1.9,45.80%,52.70%,11.30%,11.90%,9.50%,1.20%,44.00%,22.1
Chris Boucher,TOR,80,1.6,17.70%,1.29,2,0.8,1.2,62.90%,66.00%,20.80%,8.80%,19.20%,7.20%,61.60%,79.8
Chris Duarte,IND,55,2.5,18.30%,1.16,2.9,1.1,2.1,54.40%,61.40%,11.50%,8.60%,11.50%,2.20%,51.80%,56.7
