PLAYER,TEAM,GP,transition_POSS,transition_FREQ,transition_PPP,transition_PTS,transition_FGM,transition_FGA,transition_FG%,transition_EFG%,transition_FTFREQ,transition_TOVFREQ,transition_SFFREQ,transition_AND ONEFREQ,transition_SCOREFREQ,transition_PERCENTILE
Paul George,LAC,31,3.7,14.00%,0.76,2.8,0.9,2.8,32.20%,38.50%,10.40%,15.70%,9.60%,1.70%,33.00%,5.4
Deandre Ayton,PHX,58,0.9,6.50%,1.53,1.4,0.6,0.9,72.00%,74.00%,12.70%,0.00%,10.90%,3.60%,74.50%,96.4
Jalen McDaniels,CHA,55,1.2,20.40%,1.27,1.5,0.6,0.9,65.30%,71.40%,16.70%,13.60%,16.70%,4.50%,59.10%,77.6
Payton Pritchard,BOS,71,1,16.10%,1.24,1.2,0.4,0.8,51.70%,65.50%,5.90%,8.80%,4.40%,0.00%,50.00%,72.1
Furkan Korkmaz,PHI,67,1.1,13.30%,1.14,1.3,0.5,0.9,50.00%,60.50%,8.10%,9.50%,4.10%,1.40%,47.30%,51.2
Trey Murphy III,NOP,62,1,19.30%,1.38,1.3,0.5,0.9,51.80%,68.80%,6.70%,3.30%,6.70%,3.30%,51.70%,90
Tyrese Haliburton,IND,26,2.5,14.90%,1.26,3.2,1.3,1.9,68.00%,81.00%,1.50%,22.70%,1.50%,0.00%,53.00%,76.5
Brandon Boston Jr.,LAC,51,1.7,22.00%,0.98,1.6,0.6,1.4,44.40%,47.90%,9.40%,5.90%,9.40%,0.00%,47.10%,24
Marcus Morris Sr.,LAC,54,1.6,10.60%,0.97,1.5,0.5,1.3,40.00%,50.00%,9.30%,12.80%,9.30%,3.50%,38.40%,22.4
Mason Plumlee,CHA,73,0.8,12.00%,1.37,1.1,0.5,0.6,86.00%,86.00%,13.30%,16.70%,13.30%,1.70%,73.30%,88.8
Kristaps Porzingis,DAL,35,1.9,10.40%,1.23,2.3,0.8,1.5,51.90%,62.00%,15.20%,7.60%,15.20%,4.50%,53.00%,70.5
Theo Maledon,OKC,51,1.5,18.40%,1.04,1.6,0.5,1,48.10%,53.80%,20.50%,15.40%,15.40%,2.60%,50.00%,33.3
Gabe Vincent,MIA,68,1.3,13.40%,0.95,1.2,0.4,0.9,45.20%,57.30%,8.20%,20.00%,8.20%,1.20%,40.00%,21
Ivica Zubac,LAC,76,0.7,7.70%,1.46,1.1,0.4,0.5,84.60%,84.60%,18.20%,14.50%,18.20%,3.60%,74.50%,93.5
Garrett Temple,NOP,59,1.2,19.20%,1.18,1.4,0.5,0.9,56.60%,64.20%,13.20%,11.80%,14.70%,4.40%,52.90%,59.8
DeAndre' Bembry,BKN,48,1.4,26.10%,1.18,1.7,0.8,1.1,67.90%,68.90%,8.80%,11.80%,10.30%,0.00%,61.80%,59.8
Cory Joseph,DET,65,1.1,13.70%,1.11,1.2,0.4,0.8,50.00%,56.70%,19.40%,13.90%,18.10%,6.90%,48.60%,48
Mike Conley,UTA,72,1.1,8.40%,0.98,1.1,0.4,1,43.50%,55.10%,3.70%,12.20%,2.40%,0.00%,40.20%,23.8
Jarrett Allen,CLE,56,0.9,6.70%,1.58,1.4,0.6,0.7,85.40%,85.40%,14.00%,10.00%,14.00%,6.00%,78.00%,97.4
George Hill,MIL,54,1.1,17.60%,1.32,1.5,0.6,1,57.70%,64.40%,11.70%,3.30%,6.70%,1.70%,60.00%,82.2
Cam Reddish,ATL,34,1.9,15.30%,1.22,2.3,0.8,1.4,55.10%,65.30%,12.30%,12.30%,13.80%,1.50%,52.30%,68.7
Derrick Jones Jr.,CHI,51,0.9,18.00%,1.7,1.5,0.5,0.7,82.40%,83.80%,30.40%,4.30%,28.30%,8.70%,82.60%,98.6
Stanley Johnson,LAL,48,1.5,22.00%,1.11,1.6,0.5,0.8,55.00%,58.80%,35.70%,15.70%,30.00%,8.60%,57.10%,49
Kessler Edwards,BKN,49,1.5,23.50%,1.04,1.6,0.7,1.3,51.60%,59.70%,2.70%,14.90%,2.70%,1.40%,44.60%,33.9
Danny Green,PHI,62,1.3,21.20%,0.98,1.2,0.4,1.1,38.20%,55.10%,2.50%,12.70%,2.50%,1.30%,34.20%,23.6
Lindy Waters III,OKC,24,2.1,27.60%,1.49,3.2,1.2,2,58.30%,76.00%,3.90%,2.00%,3.90%,0.00%,58.80%,94.8
Josh Richardson,BOS,44,1.3,13.60%,1.34,1.7,0.6,1,60.00%,71.10%,14.30%,7.10%,10.70%,1.80%,60.70%,85.4
Delon Wright,ATL,77,0.8,17.50%,1.25,1,0.4,0.6,63.60%,70.50%,13.30%,15.00%,11.70%,1.70%,58.30%,75.1
Svi Mykhailiuk,TOR,56,1.3,24.90%,1.07,1.3,0.6,1,56.40%,62.70%,5.70%,17.10%,5.70%,1.40%,48.60%,40.6
CJ Elleby,POR,58,1.4,20.60%,0.92,1.3,0.6,1,56.10%,59.60%,9.80%,23.20%,8.50%,2.40%,43.90%,16.6
Patrick Beverley,MIN,59,1.4,14.40%,0.9,1.3,0.4,1,39.30%,49.20%,11.00%,17.10%,6.10%,2.40%,37.80%,15.2
Ricky Rubio,CLE,34,2.9,18.20%,0.75,2.2,0.6,1.9,31.80%,36.40%,16.20%,18.20%,10.10%,1.00%,36.40%,4.6
John Konchar,MEM,72,0.9,21.50%,1.09,1,0.4,0.7,49.10%,56.60%,14.90%,6.00%,14.90%,1.50%,50.70%,44.5
Justin Holiday,IND,49,1.5,13.70%,1.01,1.5,0.6,1.2,45.80%,56.80%,4.20%,12.50%,4.20%,0.00%,41.70%,29.5
Austin Rivers,DEN,67,0.9,14.90%,1.13,1.1,0.4,0.8,51.90%,60.20%,7.90%,9.50%,6.30%,3.20%,49.20%,50.5
Otto Porter Jr.,GSW,63,1.1,14.50%,1.01,1.1,0.5,1,48.30%,54.20%,5.70%,10.00%,5.70%,1.40%,45.70%,29.7
Kenrich Williams,OKC,49,1.5,19.20%,0.95,1.4,0.6,1.2,50.80%,55.70%,6.70%,13.30%,6.70%,1.30%,45.30%,19.8
Daniel Gafford,WAS,72,0.7,9.00%,1.46,1,0.4,0.5,76.90%,76.90%,22.90%,2.10%,25.00%,8.30%,77.10%,93.8
Torrey Craig,IND,51,1.2,18.20%,1.15,1.4,0.5,1,57.10%,67.30%,6.60%,14.80%,4.90%,1.60%,50.80%,54.6
Facundo Campazzo,DEN,65,1,16.40%,1.08,1.1,0.4,0.8,51.00%,57.10%,18.50%,9.20%,10.80%,3.10%,49.20%,41.5
Jordan McLaughlin,MIN,62,0.9,21.60%,1.21,1.1,0.5,0.8,59.60%,64.90%,8.90%,10.70%,8.90%,5.40%,53.60%,68.3
Danilo Gallinari,ATL,66,0.8,7.50%,1.26,1,0.3,0.7,46.80%,62.80%,7.50%,3.80%,7.50%,0.00%,49.10%,77.2
Trey Lyles,DET,51,1.1,10.80%,1.22,1.3,0.4,0.8,56.40%,59.00%,29.10%,12.70%,25.50%,12.70%,56.40%,69.3
Keita Bates-Diop,SAS,59,0.9,16.70%,1.2,1.1,0.5,0.7,64.30%,67.90%,12.50%,14.30%,12.50%,1.80%,58.90%,63.7
Saben Lee,DET,37,1.5,23.20%,1.18,1.8,0.7,1.1,63.40%,64.60%,21.10%,12.30%,21.10%,5.30%,57.90%,59.2
Damion Lee,GSW,63,0.9,12.50%,1.18,1.1,0.4,0.8,54.00%,63.00%,5.30%,8.80%,3.50%,1.80%,50.90%,59.2
David Nwaba,HOU,46,1.4,28.30%,1.03,1.5,0.6,1,55.30%,57.40%,18.50%,12.30%,16.90%,3.10%,52.30%,32.3
Timothe Luwawu-Cabarrot,ATL,52,1,22.30%,1.32,1.3,0.4,0.8,51.20%,64.60%,18.00%,4.00%,16.00%,4.00%,56.00%,82.8
Derrick Rose,NYK,26,2.2,17.70%,1.12,2.5,0.9,1.9,49.00%,60.20%,5.20%,10.30%,5.20%,0.00%,46.60%,49.9
Nicolas Batum,LAC,59,1,13.80%,1.07,1.1,0.4,0.9,50.00%,59.60%,6.60%,9.80%,6.60%,1.60%,47.50%,39.3
Seth Curry,BKN,19,2.2,17.40%,1.52,3.4,1.2,1.9,62.20%,86.50%,0.00%,11.90%,0.00%,0.00%,54.80%,96.2
Spencer Dinwiddie,DAL,23,2,14.70%,1.36,2.8,1,1.4,66.70%,75.80%,29.80%,8.50%,27.70%,8.50%,63.80%,87.6
Josh Jackson,DET,39,1.4,17.60%,1.16,1.6,0.5,1.1,50.00%,53.60%,27.30%,7.30%,25.50%,10.90%,52.70%,56.9
Draymond Green,GSW,46,1.7,18.30%,0.8,1.4,0.5,0.9,58.50%,58.50%,17.50%,35.00%,17.50%,3.80%,42.50%,6.8
Dwight Powell,DAL,82,0.5,6.70%,1.7,0.8,0.3,0.4,84.40%,85.90%,21.60%,5.40%,21.60%,13.50%,81.10%,98.8
Robert Covington,LAC,23,1.8,21.60%,1.54,2.7,1,1.6,61.10%,80.60%,7.30%,4.90%,7.30%,0.00%,61.00%,96.8
Kelly Olynyk,DET,40,1.4,14.30%,1.15,1.6,0.6,1,60.00%,66.30%,12.70%,16.40%,12.70%,1.80%,54.50%,53.2
Ty Jerome,OKC,48,1.2,15.30%,1.07,1.3,0.4,1,40.00%,53.00%,10.20%,6.80%,8.50%,1.70%,42.40%,39.9
Damian Lillard,POR,29,2.6,10.50%,0.84,2.2,0.7,1.8,38.50%,48.10%,10.70%,20.00%,9.30%,0.00%,37.30%,9.2
Greg Brown III,POR,48,1.3,24.40%,1,1.3,0.5,1,46.80%,50.00%,19.40%,8.10%,17.70%,3.20%,50.00%,25.8
Dennis Schroder,BOS,49,1.6,10.10%,0.82,1.3,0.5,1.1,41.80%,43.60%,11.80%,19.70%,11.80%,3.90%,38.20%,7.6
Isaiah Hartenstein,LAC,68,0.6,8.30%,1.45,0.9,0.4,0.5,79.40%,80.90%,11.90%,9.50%,11.90%,2.40%,71.40%,92.8
JaMychal Green,DEN,67,0.7,11.60%,1.22,0.9,0.4,0.6,60.00%,61.30%,14.00%,6.00%,12.00%,0.00%,62.00%,69.7
Nic Claxton,BKN,47,0.8,10.70%,1.62,1.3,0.6,0.7,84.40%,84.40%,21.60%,0.00%,16.20%,8.10%,83.80%,97.6
Wesley Matthews,MIL,49,1.1,21.40%,1.11,1.2,0.4,0.9,42.20%,60.00%,9.30%,7.40%,9.30%,0.00%,42.60%,48
James Harden,PHI,21,2.6,12.30%,1.11,2.9,0.8,1.6,48.50%,57.60%,22.20%,18.50%,22.20%,1.90%,50.00%,48
Brandon Williams,POR,24,2.3,14.40%,1.09,2.5,0.9,1.8,50.00%,59.50%,12.70%,14.50%,12.70%,3.60%,47.30%,44.7
Joshua Primo,SAS,50,1.5,21.20%,0.8,1.2,0.4,1.1,40.00%,42.70%,13.30%,14.70%,10.70%,1.30%,41.30%,6.8
Jeremiah Robinson-Earl,OKC,49,1,12.10%,1.26,1.2,0.4,0.8,57.90%,68.40%,10.60%,10.60%,6.40%,2.10%,55.30%,76
Myles Turner,IND,42,1.2,10.00%,1.2,1.4,0.5,0.9,56.40%,65.40%,12.20%,12.20%,12.20%,4.10%,53.10%,65.5
Alex Caruso,CHI,41,1.5,17.30%,0.98,1.4,0.5,1,46.30%,53.70%,20.00%,15.00%,16.70%,3.30%,46.70%,24.4
Raul Neto,WAS,70,0.9,10.90%,0.94,0.8,0.3,0.7,46.80%,46.80%,16.10%,14.50%,12.90%,6.50%,45.20%,18.9
Al Horford,BOS,69,0.9,9.60%,0.89,0.8,0.3,0.8,41.10%,46.40%,6.20%,9.20%,4.60%,1.50%,40.00%,14.2
Josh Hart,POR,13,3.5,19.10%,1.24,4.3,1.5,2.3,63.30%,66.70%,26.70%,13.30%,26.70%,6.70%,60.00%,73.7
Naz Reid,MIN,77,0.7,8.30%,1.08,0.7,0.3,0.5,51.20%,59.80%,13.50%,11.50%,13.50%,3.80%,50.00%,41.5
Rodney McGruder,DET,51,1.1,21.10%,1.02,1.1,0.4,0.9,42.60%,52.10%,9.10%,9.10%,7.30%,3.60%,41.80%,30.1
Danuel House Jr.,UTA,25,1.8,29.00%,1.2,2.2,0.8,1.4,54.30%,65.70%,15.60%,6.70%,15.60%,0.00%,57.80%,64.8
Richaun Holmes,SAC,45,0.8,9.40%,1.43,1.2,0.4,0.6,76.90%,76.90%,24.30%,10.80%,24.30%,5.40%,73.00%,92
Torrey Craig,PHX,27,1.6,21.50%,1.26,2,0.7,1.2,62.50%,71.90%,14.30%,16.70%,14.30%,7.10%,54.80%,77
JaVale McGee,PHX,74,0.6,7.30%,1.18,0.7,0.3,0.5,64.70%,64.70%,17.80%,11.10%,17.80%,4.40%,60.00%,60.1
Quentin Grimes,NYK,46,1.3,21.50%,0.91,1.2,0.4,1.1,40.00%,51.00%,3.40%,12.10%,1.70%,1.70%,36.20%,16.2
Dalano Banton,TOR,64,1,22.90%,0.84,0.8,0.3,0.7,50.00%,50.00%,17.50%,15.90%,15.90%,3.20%,46.00%,9.4
Rudy Gay,UTA,55,1.2,14.30%,0.8,1,0.3,1,34.00%,43.40%,9.10%,12.10%,9.10%,1.50%,34.80%,7.4
Lou Williams,ATL,56,0.9,12.60%,1.04,0.9,0.3,0.6,44.10%,54.40%,22.00%,10.00%,20.00%,0.00%,50.00%,33.7
James Johnson,BKN,62,0.8,13.80%,1,0.8,0.4,0.7,56.10%,57.30%,11.50%,13.50%,11.50%,3.80%,50.00%,25.8
Josh Richardson,SAS,21,1.8,16.00%,1.38,2.4,0.8,1.3,57.10%,75.00%,10.80%,13.50%,8.10%,0.00%,54.10%,89.4
Xavier Tillman,MEM,53,0.9,17.80%,1.02,1,0.4,0.8,51.20%,54.90%,14.00%,8.00%,14.00%,4.00%,48.00%,30.5
Domantas Sabonis,SAC,15,2.4,12.70%,1.39,3.3,1.4,1.8,77.80%,79.60%,16.70%,13.90%,13.90%,5.60%,66.70%,90.8
Dean Wade,CLE,51,0.7,14.00%,1.44,1,0.4,0.6,61.30%,77.40%,5.90%,8.80%,5.90%,5.90%,55.90%,92.4
Spencer Dinwiddie,WAS,44,1.5,10.50%,0.74,1.1,0.4,1.3,30.40%,38.40%,7.60%,10.60%,7.60%,3.00%,30.30%,4.4
Davon Reed,DEN,48,0.7,18.00%,1.46,1,0.4,0.6,60.70%,76.80%,12.10%,6.10%,12.10%,3.00%,57.60%,93.5
Keifer Sykes,IND,32,1.1,14.90%,1.41,1.5,0.6,0.9,63.30%,75.00%,5.90%,8.80%,5.90%,2.90%,58.80%,91.8
Robert Williams III,BOS,61,0.6,7.60%,1.33,0.8,0.3,0.4,76.90%,76.90%,11.10%,16.70%,8.30%,0.00%,66.70%,85.1
Troy Brown Jr.,CHI,66,0.8,18.70%,0.87,0.7,0.3,0.7,44.20%,46.50%,10.90%,14.50%,10.90%,3.60%,41.80%,12.2
Robert Covington,POR,48,1.2,13.70%,0.86,1,0.4,1,38.30%,50.00%,1.80%,14.30%,1.80%,0.00%,33.90%,10.7
Dewayne Dedmon,MIA,67,0.5,7.60%,1.52,0.7,0.3,0.4,58.60%,75.90%,6.50%,3.20%,6.50%,3.20%,58.10%,96
Derrick White,BOS,26,1.5,13.70%,1.18,1.8,0.6,1.2,51.60%,54.80%,20.00%,7.50%,20.00%,5.00%,55.00%,58.5
Yuta Watanabe,TOR,38,1.1,24.70%,1.09,1.2,0.4,0.8,50.00%,60.00%,25.60%,9.30%,23.30%,4.70%,51.20%,44.9
Juan Toscano-Anderson,GSW,73,0.6,13.40%,1.04,0.6,0.2,0.4,56.70%,56.70%,22.20%,15.60%,17.80%,4.40%,55.60%,34.3
Keon Johnson,POR,22,2.3,18.80%,0.92,2.1,0.8,1.9,40.50%,47.60%,7.80%,9.80%,5.90%,0.00%,41.20%,18
Blake Griffin,BKN,56,0.7,10.90%,1.12,0.8,0.3,0.6,52.90%,58.80%,14.60%,12.20%,12.20%,9.80%,48.80%,50.1
Kemba Walker,NYK,37,1.2,10.10%,1.02,1.2,0.4,1,44.40%,54.20%,8.90%,11.10%,6.70%,0.00%,44.40%,31.1
P.J. Tucker,MIA,71,0.7,9.70%,0.9,0.6,0.2,0.6,37.80%,51.10%,0.00%,11.80%,0.00%,0.00%,33.30%,15
Collin Sexton,CLE,11,3.3,18.40%,1.25,4.1,1.7,2.6,65.50%,69.00%,13.90%,11.10%,13.90%,5.60%,61.10%,75.1
Aaron Holiday,WAS,41,0.9,13.90%,1.19,1.1,0.4,0.7,62.10%,67.20%,10.80%,13.50%,10.80%,2.70%,56.80%,62.2
Nemanja Bjelica,GSW,71,0.7,10.70%,0.88,0.6,0.2,0.5,50.00%,58.80%,6.00%,26.00%,4.00%,0.00%,38.00%,12.6
Willy Hernangomez,NOP,50,0.5,5.90%,1.65,0.9,0.3,0.4,77.30%,79.50%,23.10%,0.00%,23.10%,7.70%,80.80%,98.2
Leandro Bolmaro,MIN,15,0.7,23.80%,0.7,0.5,0.1,0.5,29.00%,28.60%,20.00%,20.00%,10.00%,10.00%,30.00%,5.3
Montrezl Harrell,CHA,25,1.2,12.50%,1.48,1.7,0.7,1,72.00%,72.00%,17.20%,0.00%,17.20%,3.40%,75.90%,94.4
Kevon Looney,GSW,82,0.4,6.10%,1.43,0.5,0.2,0.3,81.00%,81.00%,23.30%,6.70%,23.30%,0.00%,76.70%,92.2
Jeremy Lamb,IND,39,0.9,12.70%,1.19,1.1,0.4,0.8,45.20%,58.10%,13.90%,5.60%,8.30%,5.60%,47.20%,63.1
Donte DiVincenzo,SAC,25,1.8,15.80%,0.96,1.7,0.5,1.4,36.10%,47.20%,11.10%,8.90%,8.90%,0.00%,40.00%,21.4
Markelle Fultz,ORL,18,2.1,16.70%,1.11,2.3,0.9,1.6,58.60%,58.60%,15.80%,13.20%,10.50%,5.30%,55.30%,47
Jose Alvarado,NOP,54,1,15.40%,0.76,0.8,0.3,0.8,39.50%,43.00%,7.30%,14.50%,5.50%,1.80%,36.40%,5.6
Dylan Windler,CLE,30,0.6,20.00%,1.12,0.6,0.2,0.5,46.70%,63.30%,0.00%,11.80%,0.00%,0.00%,41.20%,53.4
Caris LeVert,CLE,19,1.8,12.20%,1.17,2.2,0.8,1.5,53.60%,57.10%,20.00%,2.90%,20.00%,2.90%,57.10%,57.9
Wayne Ellington,LAL,43,1,17.40%,0.91,1,0.3,0.9,37.50%,51.30%,0.00%,11.10%,0.00%,0.00%,33.30%,15.8
Alperen Sengun,HOU,72,0.7,6.40%,0.82,0.6,0.2,0.4,50.00%,50.00%,14.00%,28.00%,12.00%,2.00%,42.00%,8.4
Isaiah Jackson,IND,36,0.9,11.50%,1.21,1.1,0.4,0.6,71.40%,71.40%,18.20%,15.20%,21.20%,0.00%,63.60%,67.1
Kelan Martin,IND,27,1.3,18.10%,1.18,1.5,0.6,1.2,50.00%,59.40%,2.90%,2.90%,2.90%,0.00%,50.00%,59.8
Lance Stephenson,IND,40,1,9.40%,1.03,1,0.3,0.6,54.20%,58.30%,20.50%,20.50%,17.90%,2.60%,51.30%,31.7
Terrence Ross,ORL,63,0.9,8.10%,0.73,0.6,0.2,0.7,29.80%,36.20%,7.30%,9.10%,5.50%,1.80%,30.90%,3.6
Jalen Smith,IND,22,1.3,11.00%,1.39,1.8,0.8,1.3,60.70%,69.60%,0.00%,0.00%,0.00%,0.00%,60.70%,91.2
Hassan Whiteside,UTA,65,0.4,6.30%,1.35,0.6,0.3,0.4,68.00%,68.00%,17.20%,6.90%,17.20%,10.30%,65.50%,85.6
Moses Moody,GSW,52,0.6,15.20%,1.22,0.8,0.2,0.5,44.40%,53.70%,18.80%,0.00%,18.80%,3.10%,53.10%,69.5
Jevon Carter,BKN,46,0.7,16.70%,1.15,0.8,0.3,0.6,46.40%,66.10%,5.90%,11.80%,2.90%,0.00%,44.10%,54.2
Kristaps Porzingis,WAS,17,2,10.00%,1.15,2.3,0.6,1.4,41.70%,45.80%,26.50%,2.90%,23.50%,0.00%,55.90%,54.2
Jarrett Culver,MEM,21,1,20.40%,0.81,0.8,0.3,0.9,38.90%,38.90%,9.50%,4.80%,9.50%,0.00%,42.90%,9.8
Dennis Smith Jr.,POR,37,1.2,16.30%,0.91,1.1,0.4,0.8,48.30%,48.30%,18.60%,16.30%,18.60%,2.30%,48.80%,15.6
Joe Harris,BKN,14,1.3,12.70%,2.11,2.7,0.9,1.2,76.50%,111.80%,0.00%,5.60%,0.00%,0.00%,72.20%,99.8
Zeke Nnaji,DEN,41,0.7,11.60%,1.36,0.9,0.4,0.6,65.20%,73.90%,14.30%,7.10%,14.30%,3.60%,64.30%,86.9
Dennis Schroder,HOU,15,2.4,18.50%,1.06,2.5,0.7,1.5,47.80%,56.50%,16.70%,19.40%,13.90%,0.00%,47.20%,36.9
Armoni Brooks,HOU,41,0.9,12.90%,1.06,0.9,0.3,0.8,45.20%,56.50%,5.60%,11.10%,2.80%,2.80%,41.70%,36.9
Aaron Nesmith,BOS,52,0.7,16.70%,1.03,0.7,0.3,0.5,52.00%,54.00%,24.30%,16.20%,21.60%,8.10%,51.40%,31.9
Justin Holiday,SAC,25,1.6,16.70%,0.97,1.5,0.5,1.3,39.40%,51.50%,5.10%,10.30%,5.10%,0.00%,38.50%,23.4
Eric Paschall,UTA,58,0.7,13.50%,0.95,0.7,0.2,0.5,40.00%,43.30%,22.50%,12.50%,22.50%,10.00%,42.50%,20.5
Davis Bertans,DAL,22,1.3,24.80%,1.32,1.7,0.6,1.3,46.40%,64.30%,3.60%,0.00%,3.60%,3.60%,46.40%,83
Jakob Poeltl,SAS,68,0.4,3.50%,1.23,0.5,0.3,0.4,72.00%,72.00%,6.70%,13.30%,6.70%,3.30%,63.30%,71.7
Maxi Kleber,DAL,59,0.5,6.90%,1.23,0.6,0.3,0.4,57.70%,71.20%,0.00%,13.30%,0.00%,0.00%,50.00%,71.7
Kira Lewis Jr.,NOP,24,1.3,18.20%,1.16,1.5,0.6,1.1,53.80%,57.70%,15.60%,9.40%,12.50%,6.30%,53.10%,55.8
Joe Ingles,UTA,45,0.9,11.50%,0.95,0.8,0.3,0.8,35.30%,50.00%,5.10%,7.70%,0.00%,0.00%,35.90%,20.2
Maurice Harkless,SAC,47,0.9,18.70%,0.88,0.8,0.3,0.6,48.30%,53.40%,9.50%,19.00%,9.50%,0.00%,42.90%,12.8
Frank Ntilikina,DAL,58,0.8,17.80%,0.79,0.6,0.2,0.7,32.50%,37.50%,8.50%,8.50%,6.40%,2.10%,34.00%,6.4
Goga Bitadze,IND,50,0.4,6.50%,1.64,0.7,0.3,0.3,87.50%,93.80%,22.70%,13.60%,22.70%,9.10%,77.30%,97.8
Ignas Brazdeikis,ORL,42,1,18.20%,0.9,0.9,0.3,0.8,39.40%,45.50%,10.00%,7.50%,10.00%,0.00%,42.50%,14.6
Miles McBride,NYK,13,0.8,18.90%,0.9,0.7,0.2,0.6,37.50%,37.50%,20.00%,10.00%,10.00%,10.00%,40.00%,17.8
Isaiah Livers,DET,19,0.8,13.50%,2.33,1.8,0.6,0.6,91.70%,133.30%,13.30%,6.70%,13.30%,0.00%,86.70%,100
Thomas Bryant,WAS,27,0.9,13.50%,1.4,1.3,0.5,0.7,68.40%,73.70%,24.00%,12.00%,20.00%,12.00%,64.00%,91.4
Jusuf Nurkic,POR,56,0.5,3.20%,1.25,0.6,0.2,0.4,54.50%,61.40%,21.40%,7.10%,14.30%,7.10%,57.10%,75.1
Mike Muscala,OKC,43,0.7,11.20%,1.09,0.8,0.3,0.7,44.80%,58.60%,3.10%,6.30%,3.10%,0.00%,43.80%,45.3
Sterling Brown,DAL,49,0.9,22.70%,0.83,0.7,0.3,0.8,35.10%,43.20%,4.80%,9.50%,2.40%,2.40%,33.30%,8.8
Marvin Bagley III,DET,18,1.4,10.30%,1.36,1.9,0.8,1.1,70.00%,70.00%,28.00%,0.00%,28.00%,8.00%,72.00%,87.4
Terry Taylor,IND,33,1,12.10%,1.06,1,0.5,0.7,62.50%,62.50%,9.40%,15.60%,9.40%,0.00%,53.10%,38.4
Kent Bazemore,LAL,39,0.8,18.80%,1.06,0.9,0.3,0.6,44.00%,56.00%,9.40%,12.50%,6.30%,0.00%,43.80%,38.4
Trey Lyles,SAC,24,1.2,12.90%,1.14,1.4,0.5,1,56.50%,67.40%,6.90%,17.20%,6.90%,3.40%,48.30%,51.8
Santi Aldama,MEM,32,0.9,18.40%,1.14,1,0.4,0.6,60.00%,65.00%,13.80%,17.20%,13.80%,0.00%,55.20%,51.8
Trey Burke,DAL,42,0.8,13.10%,1,0.8,0.3,0.6,51.90%,59.30%,3.00%,15.20%,3.00%,0.00%,45.50%,25.8
David Duke Jr.,BKN,22,1.6,28.30%,0.92,1.5,0.7,1.5,45.50%,48.50%,5.60%,5.60%,5.60%,2.80%,44.40%,16.9
Onyeka Okongwu,ATL,48,0.5,7.00%,1.46,0.7,0.3,0.4,78.90%,78.90%,13.60%,4.50%,13.60%,4.50%,77.30%,93.5
Skylar Mays,ATL,19,0.7,18.80%,1,1,0.3,0.5,60.00%,60.00%,7.70%,23.10%,7.70%,7.70%,46.20%,31.4
Serge Ibaka,LAC,35,0.7,9.60%,1.39,0.9,0.3,0.5,68.80%,81.30%,17.40%,17.40%,8.70%,4.30%,60.90%,91
Cam Reddish,NYK,15,1.7,26.90%,1.28,2.1,0.5,0.8,66.70%,79.20%,28.00%,24.00%,24.00%,0.00%,60.00%,78.6
James Bouknight,CHA,30,1.2,22.00%,0.87,1.1,0.4,1.1,34.40%,40.60%,10.80%,5.40%,8.10%,2.70%,37.80%,12
Steven Adams,MEM,76,0.4,5.80%,0.94,0.4,0.2,0.3,75.00%,75.00%,20.60%,29.40%,20.60%,8.80%,47.10%,19.2
Josh Okogie,MIN,49,0.8,25.70%,0.84,0.7,0.2,0.5,42.30%,44.20%,18.40%,15.80%,18.40%,2.60%,42.10%,9.7
Michael Porter Jr.,DEN,9,3.3,25.40%,1.03,3.4,1.4,2.9,50.00%,55.80%,6.70%,13.30%,6.70%,6.70%,43.30%,32.9
Romeo Langford,BOS,44,0.8,15.80%,0.88,0.7,0.3,0.7,37.90%,44.80%,11.80%,5.90%,8.80%,2.90%,41.20%,13.3
Vit Krejci,OKC,30,1.2,17.00%,0.86,1,0.4,1,41.40%,48.30%,2.90%,14.30%,2.90%,0.00%,37.10%,10.7
T.J. McConnell,IND,27,1.4,15.80%,0.77,1.1,0.5,1,46.40%,48.20%,7.70%,23.10%,2.60%,2.60%,38.50%,5.8
Andre Drummond,BKN,24,0.7,6.40%,1.71,1.2,0.5,0.6,92.90%,92.90%,23.50%,0.00%,23.50%,5.90%,94.10%,99
D.J. Augustin,LAL,21,1,21.20%,1.38,1.4,0.5,1,50.00%,72.50%,0.00%,4.80%,0.00%,0.00%,47.60%,89.8
Thanasis Antetokounmpo,MIL,35,0.4,12.00%,0.93,0.4,0.1,0.3,50.00%,50.00%,14.30%,14.30%,0.00%,0.00%,50.00%,18.8
Khem Birch,TOR,55,0.4,8.50%,1.32,0.5,0.2,0.3,68.80%,68.80%,31.80%,9.10%,31.80%,13.60%,68.20%,82.5
Malachi Flynn,TOR,44,0.7,14.10%,1,0.7,0.3,0.6,46.20%,53.80%,3.40%,6.90%,3.40%,0.00%,44.80%,25.8
LaMarcus Aldridge,BKN,47,0.5,4.60%,1.12,0.6,0.3,0.4,65.00%,67.50%,12.00%,16.00%,12.00%,8.00%,52.00%,49.7
Justise Winslow,LAC,37,1.2,23.20%,0.61,0.8,0.3,0.7,40.00%,40.00%,21.70%,23.90%,19.60%,0.00%,39.10%,1.6
Omer Yurtseven,MIA,56,0.4,7.00%,1.23,0.5,0.2,0.3,73.30%,73.30%,22.70%,13.60%,22.70%,4.50%,68.20%,70.5
Jock Landale,SAS,54,0.4,9.10%,1.17,0.5,0.2,0.4,54.50%,59.10%,4.30%,4.30%,4.30%,4.30%,52.20%,58.3
