PLAYER,TEAM,GP,putback_POSS,putback_FREQ,putback_PPP,putback_PTS,putback_FGM,putback_FGA,putback_FG%,putback_EFG%,putback_FTFREQ,putback_TOVFREQ,putback_SFFREQ,putback_ANDONEFREQ,putback_SCOREFREQ,putback_PERCENTILE
Enes Freedom,BOS,35,1.4,38.50%,1.08,1.5,0.7,1.2,56.10%,56.10%,14.00%,10.00%,12.00%,6.00%,54.00%,44.2
Isaiah Jackson,IND,36,1.4,17.10%,1.08,1.5,0.6,1.2,53.50%,53.50%,14.00%,2.00%,14.30%,4.10%,57.10%,44.8
Mason Plumlee,CHA,73,1,14.00%,0.76,0.7,0.3,0.7,45.80%,45.80%,19.00%,15.70%,18.60%,2.90%,40.00%,7.4
Carmelo Anthony,LAL,69,0.6,4.60%,1.33,0.8,0.3,0.4,61.30%,62.90%,21.00%,0.00%,20.50%,2.60%,66.70%,89
OG Anunoby,TOR,48,1,5.50%,1.13,1.1,0.4,0.7,55.90%,57.40%,24.00%,8.70%,21.70%,6.50%,54.30%,56
Aleksej Pokusevski,OKC,61,0.8,8.70%,1.04,0.9,0.4,0.8,54.30%,54.30%,4.00%,4.00%,4.00%,0.00%,54.00%,36.8
Terry Rozier,CHA,73,0.5,2.80%,1.38,0.7,0.3,0.5,66.70%,71.20%,11.00%,5.40%,10.80%,5.40%,64.90%,92.6
Terance Mann,LAC,81,0.6,6.10%,0.98,0.6,0.3,0.6,48.90%,48.90%,8.00%,5.80%,7.70%,0.00%,50.00%,29.4
Omer Yurtseven,MIA,56,0.9,16.80%,0.96,0.9,0.4,0.8,47.80%,47.80%,11.00%,1.90%,11.30%,0.00%,50.90%,27.6
Lauri Markkanen,CLE,61,0.7,4.80%,1.25,0.8,0.3,0.6,61.80%,63.20%,12.00%,5.00%,12.50%,2.50%,62.50%,77
Miles Bridges,CHA,80,0.5,2.50%,1.29,0.6,0.3,0.4,64.50%,67.70%,11.00%,7.90%,10.50%,0.00%,63.20%,82.5
Otto Porter Jr.,GSW,63,0.6,8.30%,1.23,0.8,0.4,0.6,62.20%,63.50%,5.00%,5.00%,5.00%,2.50%,60.00%,71.5
Keita Bates-Diop,SAS,59,0.7,12.50%,1.17,0.8,0.4,0.6,59.50%,59.50%,10.00%,2.40%,9.50%,0.00%,59.50%,61.6
Kyle Anderson,MEM,69,0.7,8.40%,1,0.7,0.3,0.7,51.10%,51.10%,4.00%,6.10%,4.10%,2.00%,49.00%,31.7
Oshae Brissett,IND,67,0.8,8.20%,0.94,0.7,0.3,0.6,46.30%,46.30%,15.00%,9.60%,15.40%,3.80%,46.20%,25.5
Khem Birch,TOR,55,1,21.20%,0.89,0.9,0.3,0.8,41.30%,41.30%,15.00%,5.50%,14.50%,3.60%,43.60%,19
Rudy Gay,UTA,55,0.7,8.40%,1.23,0.9,0.4,0.5,74.10%,74.10%,18.00%,17.90%,15.40%,5.10%,64.10%,72.5
P.J. Washington,CHA,65,0.7,6.90%,1.07,0.7,0.3,0.6,56.40%,56.40%,7.00%,6.70%,6.70%,0.00%,55.60%,42.3
DeMarcus Cousins,DEN,31,1.2,11.70%,1.27,1.5,0.6,0.9,65.50%,65.50%,16.00%,5.40%,16.20%,0.00%,64.90%,79.8
Derrick Jones Jr.,CHI,51,0.8,15.60%,1.18,0.9,0.4,0.7,60.00%,60.00%,10.00%,5.00%,10.00%,2.50%,60.00%,63.1
Harrison Barnes,SAC,77,0.5,3.70%,1.15,0.6,0.2,0.4,51.60%,51.60%,27.00%,4.90%,26.80%,7.30%,58.50%,58.2
Robin Lopez,ORL,37,1.1,15.70%,1.12,1.3,0.6,1.1,56.40%,56.40%,5.00%,2.40%,4.80%,0.00%,57.10%,53.3
Franz Wagner,ORL,79,0.5,3.50%,1.12,0.6,0.2,0.4,50.00%,53.10%,19.00%,7.10%,16.70%,2.40%,54.80%,53.3
John Konchar,MEM,72,0.5,10.60%,1.39,0.6,0.3,0.4,71.00%,71.00%,6.00%,0.00%,6.10%,0.00%,72.70%,93.5
Kristaps Porzingis,DAL,35,1.1,5.90%,1.24,1.3,0.7,1,63.90%,63.90%,0.00%,2.70%,0.00%,0.00%,62.20%,76
Gary Payton II,GSW,71,0.5,9.50%,1.18,0.6,0.3,0.5,65.60%,65.60%,8.00%,10.30%,7.70%,0.00%,61.50%,64.1
Dorian Finney-Smith,DAL,80,0.5,5.20%,1.1,0.6,0.3,0.5,59.50%,62.20%,0.00%,11.90%,0.00%,0.00%,52.40%,48.8
Bruce Brown,BKN,72,0.7,8.40%,0.89,0.6,0.3,0.6,45.20%,45.20%,10.00%,9.60%,7.70%,0.00%,46.20%,17.8
Tristan Thompson,SAC,30,1.8,26.60%,0.84,1.5,0.6,1.5,43.20%,43.20%,13.00%,9.10%,9.10%,1.80%,43.60%,14.5
Trendon Watford,POR,48,0.7,9.90%,1.29,0.9,0.5,0.6,71.00%,71.00%,3.00%,8.60%,2.90%,0.00%,65.70%,82
Obi Toppin,NYK,72,0.6,6.80%,1.13,0.6,0.3,0.5,56.80%,56.80%,5.00%,5.00%,5.00%,2.50%,55.00%,54.8
Nemanja Bjelica,GSW,71,0.6,9.40%,1.02,0.6,0.3,0.5,55.30%,55.30%,9.00%,6.80%,9.10%,2.30%,52.30%,35.3
Ja Morant,MEM,57,0.8,2.80%,1,0.8,0.3,0.6,54.30%,54.30%,9.00%,13.60%,9.10%,2.30%,50.00%,31.7
Herbert Jones,NOP,78,0.5,5.40%,1.08,0.6,0.2,0.3,55.60%,55.60%,20.00%,15.00%,20.00%,2.50%,55.00%,43.3
Isaiah Roby,OKC,45,0.9,10.00%,1.02,1,0.4,0.7,54.50%,56.10%,14.00%,7.10%,14.30%,0.00%,54.80%,35.6
LaMelo Ball,CHA,75,0.6,2.80%,0.96,0.6,0.2,0.5,50.00%,51.40%,7.00%,13.30%,2.20%,0.00%,46.70%,26.7
Russell Westbrook,LAL,78,0.7,3.20%,0.8,0.6,0.2,0.5,39.50%,39.50%,19.00%,13.00%,18.50%,1.90%,42.60%,10.1
Larry Nance Jr.,POR,37,0.8,12.60%,1.36,1.1,0.5,0.8,65.50%,65.50%,10.00%,0.00%,9.70%,3.20%,67.70%,89.6
Blake Griffin,BKN,56,0.7,10.10%,1.11,0.8,0.3,0.6,52.90%,52.90%,13.00%,2.60%,10.50%,5.30%,55.30%,50.7
Torrey Craig,IND,51,0.6,9.60%,1.28,0.8,0.4,0.6,65.50%,65.50%,6.00%,3.10%,6.30%,0.00%,65.60%,81
Jonathan Kuminga,GSW,71,0.5,6.10%,1.08,0.6,0.2,0.4,51.60%,51.60%,16.00%,5.30%,15.80%,2.60%,52.60%,43.9
Josh Giddey,OKC,54,0.8,5.00%,0.93,0.8,0.4,0.7,51.30%,51.30%,2.00%,9.10%,2.30%,0.00%,47.70%,24
Taj Gibson,NYK,52,0.9,21.80%,0.85,0.8,0.3,0.7,47.20%,47.20%,10.00%,18.80%,10.40%,4.20%,41.70%,16
Xavier Tillman,MEM,53,0.7,13.20%,1.08,0.8,0.3,0.6,54.80%,54.80%,14.00%,8.10%,13.50%,5.40%,54.10%,44.5
Darius Bazley,OKC,69,0.6,4.70%,1.05,0.6,0.2,0.4,61.50%,61.50%,18.00%,15.80%,18.40%,2.60%,57.90%,39.5
Jeremiah Robinson-Earl,OKC,49,0.8,10.00%,1.03,0.8,0.3,0.6,50.00%,50.00%,15.00%,7.70%,12.80%,0.00%,53.80%,35.9
Alex Len,SAC,39,0.8,12.10%,1.3,1,0.4,0.6,64.00%,64.00%,17.00%,6.70%,16.70%,6.70%,63.30%,85
Jalen Smith,IND,22,1.4,11.80%,1.3,1.8,0.7,1.2,61.50%,61.50%,13.00%,0.00%,13.30%,0.00%,66.70%,85
Luka Garza,DET,32,1,16.30%,1.26,1.2,0.5,0.7,65.20%,65.20%,26.00%,6.50%,25.80%,6.50%,67.70%,78.3
Luka Doncic,DAL,65,0.5,1.60%,1.26,0.6,0.3,0.4,67.90%,67.90%,3.00%,6.50%,3.20%,0.00%,64.50%,78.3
Bojan Bogdanovic,UTA,69,0.5,3.10%,1.08,0.6,0.2,0.4,57.10%,57.10%,14.00%,11.10%,13.90%,2.80%,55.60%,45.4
Greg Brown III,POR,48,0.6,11.00%,1.32,0.8,0.3,0.5,65.20%,65.20%,25.00%,0.00%,25.00%,7.10%,67.90%,87.8
Marvin Bagley III,DET,18,1.6,11.90%,1.28,2.1,0.9,1.3,66.70%,66.70%,14.00%,6.90%,13.80%,3.40%,65.50%,80.7
Donovan Mitchell,UTA,67,0.4,1.50%,1.44,0.5,0.2,0.3,70.00%,72.50%,24.00%,8.00%,20.00%,12.00%,68.00%,95.3
DeMar DeRozan,CHI,76,0.4,1.50%,1.24,0.5,0.2,0.3,64.00%,66.00%,7.00%,6.90%,3.40%,0.00%,62.10%,75.6
P.J. Tucker,MIA,71,0.5,7.10%,0.97,0.5,0.2,0.4,54.80%,54.80%,8.00%,13.50%,8.10%,5.40%,48.60%,28.8
Jaden McDaniels,MIN,70,0.6,5.90%,0.92,0.5,0.2,0.5,47.20%,47.20%,5.00%,7.70%,5.10%,5.10%,43.60%,22.3
Caleb Martin,MIA,60,0.5,5.50%,1.25,0.6,0.3,0.4,68.00%,68.00%,4.00%,10.70%,3.60%,3.60%,60.70%,77
Dejounte Murray,SAS,68,0.5,2.40%,0.95,0.5,0.2,0.5,48.40%,50.00%,8.00%,10.80%,8.10%,2.70%,45.90%,26.4
Trey Murphy III,NOP,62,0.4,8.00%,1.36,0.5,0.2,0.3,63.20%,63.20%,24.00%,4.00%,24.00%,4.00%,68.00%,90.8
Corey Kispert,WAS,77,0.4,4.60%,1.26,0.4,0.2,0.3,66.70%,66.70%,4.00%,7.40%,3.70%,0.00%,63.00%,78.6
Josh Christopher,HOU,74,0.4,4.20%,1.21,0.5,0.2,0.3,62.50%,62.50%,11.00%,10.70%,10.70%,7.10%,57.10%,70.4
Jock Landale,SAS,54,0.6,12.70%,1.06,0.6,0.3,0.5,53.60%,53.60%,9.00%,6.30%,9.40%,3.10%,53.10%,41
Bismack Biyombo,PHX,36,1,17.70%,0.94,0.9,0.4,0.8,50.00%,50.00%,14.00%,8.30%,11.10%,5.60%,50.00%,25.9
Mikal Bridges,PHX,82,0.4,3.60%,0.94,0.4,0.2,0.4,45.20%,45.20%,14.00%,5.60%,13.90%,5.60%,47.20%,25.9
RJ Barrett,NYK,70,0.5,2.40%,0.92,0.5,0.2,0.4,46.40%,50.00%,14.00%,13.50%,13.50%,2.70%,45.90%,22
James Harden,BKN,44,0.5,2.30%,1.38,0.8,0.3,0.5,65.20%,65.20%,8.00%,0.00%,4.20%,4.20%,66.70%,92
Devin Booker,PHX,68,0.4,1.70%,1.14,0.5,0.2,0.3,52.20%,52.20%,24.00%,6.90%,20.70%,10.30%,55.20%,57
Jalen Smith,PHX,29,1.1,18.10%,1,1.1,0.5,0.9,56.00%,56.00%,9.00%,15.20%,9.10%,0.00%,51.50%,31.7
Khris Middleton,MIL,66,0.4,2.00%,1.23,0.5,0.2,0.3,60.90%,60.90%,15.00%,3.80%,15.40%,7.70%,61.50%,72.5
Grant Williams,BOS,77,0.4,5.00%,1.19,0.4,0.2,0.2,68.40%,68.40%,11.00%,18.50%,11.10%,0.00%,59.30%,65.3
De'Anthony Melton,MEM,73,0.4,3.30%,1.14,0.4,0.2,0.3,60.00%,64.00%,0.00%,10.70%,0.00%,0.00%,53.60%,57.4
Will Barton,DEN,71,0.4,2.90%,1.03,0.5,0.2,0.4,57.10%,57.10%,0.00%,9.70%,0.00%,0.00%,51.60%,36.5
Drew Eubanks,SAS,50,0.7,13.70%,0.97,0.6,0.3,0.5,53.80%,53.80%,9.00%,12.10%,9.10%,0.00%,48.50%,28.5
Tony Bradley,CHI,52,0.6,19.60%,1,0.6,0.3,0.5,53.80%,53.80%,13.00%,3.30%,13.30%,3.30%,53.30%,32.8
Trae Young,ATL,76,0.3,1.20%,1.29,0.4,0.1,0.2,61.10%,61.10%,21.00%,8.30%,16.70%,4.20%,62.50%,83.1
Aaron Wiggins,OKC,50,0.6,6.80%,1.07,0.6,0.3,0.5,53.80%,53.80%,7.00%,3.40%,6.90%,0.00%,55.20%,42.7
Kenrich Williams,OKC,49,0.7,8.70%,0.91,0.6,0.3,0.5,50.00%,55.80%,9.00%,14.70%,8.80%,0.00%,44.10%,21.1
James Johnson,BKN,62,0.5,8.00%,1,0.5,0.2,0.5,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,50.00%,31.7
Malik Monk,LAL,76,0.2,1.70%,1.71,0.4,0.1,0.2,78.60%,85.70%,24.00%,11.80%,23.50%,17.60%,70.60%,100
Marcus Smart,BOS,71,0.3,2.40%,1.26,0.4,0.2,0.3,65.00%,67.50%,4.00%,8.70%,0.00%,0.00%,60.90%,79.2
Moritz Wagner,ORL,63,0.4,4.70%,1.21,0.5,0.2,0.3,66.70%,66.70%,12.00%,12.50%,8.30%,0.00%,62.50%,69.3
Lamar Stevens,CLE,63,0.4,6.40%,1.16,0.5,0.2,0.3,54.50%,54.50%,12.00%,4.00%,12.00%,4.00%,56.00%,60.5
Desmond Bane,MEM,76,0.3,2.10%,1.12,0.4,0.1,0.3,52.40%,54.80%,12.00%,7.70%,7.70%,0.00%,53.80%,51.9
Deni Avdija,WAS,82,0.3,3.60%,1.12,0.4,0.1,0.3,54.50%,54.50%,12.00%,3.80%,11.50%,0.00%,57.70%,51.9
Jordan Clarkson,UTA,79,0.3,2.00%,1.12,0.4,0.2,0.3,56.00%,58.00%,0.00%,3.80%,0.00%,0.00%,53.80%,51.9
Jaylen Brown,BOS,66,0.5,2.00%,0.97,0.4,0.2,0.3,59.10%,59.10%,7.00%,20.00%,6.70%,0.00%,50.00%,28.2
Kelly Olynyk,DET,40,0.8,8.10%,0.94,0.7,0.3,0.7,42.90%,42.90%,13.00%,3.20%,12.90%,6.50%,45.20%,24.6
Cameron Johnson,PHX,66,0.3,2.70%,1.47,0.4,0.2,0.2,68.80%,68.80%,21.00%,5.30%,21.10%,10.50%,68.40%,96.4
Kristaps Porzingis,WAS,17,1.4,7.10%,1.17,1.6,0.6,1.2,52.40%,52.40%,17.00%,0.00%,12.50%,4.20%,58.30%,61.6
Jrue Holiday,MIL,67,0.4,2.10%,1.12,0.4,0.2,0.4,52.00%,56.00%,0.00%,0.00%,0.00%,0.00%,52.00%,53.7
Devin Vassell,SAS,71,0.4,3.00%,1.08,0.4,0.2,0.4,52.00%,52.00%,4.00%,0.00%,3.80%,0.00%,53.80%,43.6
Anthony Edwards,MIN,72,0.4,1.90%,0.97,0.4,0.2,0.3,44.00%,48.00%,10.00%,6.90%,10.30%,3.40%,44.80%,27.9
CJ Elleby,POR,58,0.5,7.80%,0.9,0.5,0.2,0.4,41.70%,41.70%,16.00%,9.70%,16.10%,3.20%,45.20%,20.5
Trey Lyles,SAC,24,0.8,8.00%,1.5,1.1,0.5,0.6,73.30%,73.30%,17.00%,5.60%,16.70%,5.60%,72.20%,97.6
Luguentz Dort,OKC,51,0.5,2.70%,1.13,0.5,0.2,0.4,61.10%,63.90%,17.00%,12.50%,12.50%,4.20%,54.20%,54.8
Isaac Okoro,CLE,67,0.4,5.20%,0.93,0.4,0.2,0.3,52.40%,54.80%,10.00%,17.20%,10.30%,0.00%,44.80%,23.7
DeAndre Jordan,LAL,32,1,25.20%,0.87,0.8,0.3,0.8,44.00%,44.00%,16.00%,6.50%,16.10%,3.20%,48.40%,16.9
Tyler Herro,MIA,66,0.3,1.20%,1.53,0.4,0.2,0.2,73.30%,76.70%,12.00%,5.90%,11.80%,5.90%,70.60%,98.2
Bradley Beal,WAS,40,0.5,2.00%,1.3,0.7,0.3,0.4,68.80%,68.80%,15.00%,5.00%,15.00%,0.00%,70.00%,85
Eric Paschall,UTA,58,0.4,7.10%,1.24,0.4,0.2,0.3,66.70%,66.70%,24.00%,9.50%,19.00%,4.80%,61.90%,74.7
David Nwaba,HOU,46,0.5,10.00%,1.13,0.6,0.3,0.4,60.00%,60.00%,4.00%,8.70%,4.30%,0.00%,56.50%,56
Jaylen Hoard,OKC,7,3.7,24.50%,1,3.7,1.9,2.9,65.00%,65.00%,8.00%,15.40%,7.70%,0.00%,50.00%,31.7
Derrick Favors,OKC,39,0.7,13.80%,0.93,0.7,0.3,0.7,46.40%,46.40%,0.00%,0.00%,0.00%,0.00%,46.40%,22.8
Sandro Mamukelashvili,MIL,29,0.5,14.40%,1.14,0.6,0.3,0.5,57.10%,57.10%,0.00%,0.00%,0.00%,0.00%,57.10%,59.5
Olivier Sarr,OKC,22,0.8,12.50%,1.47,1.1,0.4,0.5,81.80%,81.80%,24.00%,11.80%,17.60%,0.00%,76.50%,96.1
Anthony Gill,WAS,44,0.5,14.60%,1.14,0.6,0.2,0.3,53.30%,53.30%,23.00%,9.10%,22.70%,0.00%,59.10%,56.7
Thanasis Antetokounmpo,MIL,35,0.4,12.00%,1.21,0.5,0.2,0.4,61.50%,61.50%,7.00%,0.00%,7.10%,0.00%,64.30%,74.2
Wenyen Gabriel,LAL,19,1.2,18.10%,1.09,1.3,0.6,1.1,55.00%,55.00%,13.00%,4.30%,8.70%,4.30%,56.50%,46.1
Jordan Nwora,MIL,62,0.4,4.30%,1.09,0.4,0.2,0.3,57.10%,57.10%,4.00%,8.70%,4.30%,4.30%,52.20%,46.1
Domantas Sabonis,SAC,15,1.6,8.50%,1.04,1.7,0.7,1.3,50.00%,50.00%,12.00%,8.30%,12.50%,4.20%,50.00%,37.1
Josh Hart,NOP,41,0.6,4.60%,1,0.6,0.2,0.4,50.00%,50.00%,24.00%,12.00%,16.00%,0.00%,56.00%,31.7
Daniel Theis,HOU,26,0.8,9.60%,1.09,0.9,0.4,0.7,57.90%,57.90%,5.00%,9.10%,4.50%,0.00%,54.50%,47.4
Serge Ibaka,LAC,35,0.7,9.60%,1.04,0.7,0.3,0.6,55.00%,55.00%,13.00%,4.30%,13.00%,4.30%,56.50%,37.6
Dalano Banton,TOR,64,0.4,8.40%,1.04,0.4,0.2,0.3,57.90%,57.90%,9.00%,8.70%,8.70%,0.00%,56.50%,37.6
Patrick Beverley,MIN,59,0.4,4.00%,1.04,0.4,0.2,0.3,61.10%,61.10%,13.00%,13.00%,13.00%,4.30%,56.50%,37.6
Tristan Thompson,CHI,23,1.2,20.90%,0.89,1,0.5,1,45.80%,45.80%,7.00%,3.70%,7.40%,0.00%,44.40%,18.5
Cody Zeller,POR,27,1.1,22.10%,0.83,0.9,0.4,0.9,47.80%,47.80%,7.00%,13.80%,6.90%,0.00%,44.80%,13.1
Stanley Johnson,LAL,48,0.3,4.70%,1.53,0.5,0.2,0.3,73.30%,76.70%,0.00%,0.00%,0.00%,0.00%,73.30%,98.5
Rui Hachimura,WAS,42,0.4,3.60%,1.44,0.5,0.2,0.3,71.40%,75.00%,6.00%,6.30%,6.30%,0.00%,68.80%,95
Shai Gilgeous-Alexander,OKC,56,0.3,1.20%,1.35,0.4,0.2,0.3,60.00%,63.30%,18.00%,0.00%,17.60%,5.90%,64.70%,89.3
Thomas Bryant,WAS,27,0.8,11.40%,1.1,0.9,0.4,0.7,55.00%,55.00%,5.00%,0.00%,4.80%,0.00%,57.10%,48.8
Santi Aldama,MEM,32,0.7,13.90%,1.05,0.7,0.3,0.6,55.00%,55.00%,5.00%,4.50%,4.50%,0.00%,54.50%,38.3
Shake Milton,PHI,55,0.3,3.40%,1.38,0.4,0.2,0.3,73.30%,73.30%,0.00%,6.30%,0.00%,0.00%,68.80%,92
Dillon Brooks,MEM,33,0.5,2.70%,1.29,0.7,0.3,0.5,66.70%,66.70%,12.00%,11.80%,11.80%,11.80%,58.80%,83.6
Robert Covington,POR,48,0.4,4.60%,1.16,0.5,0.2,0.3,60.00%,60.00%,11.00%,10.50%,10.50%,0.00%,57.90%,60.1
DeMarcus Cousins,MIL,17,1.1,12.90%,1.16,1.3,0.5,0.9,50.00%,50.00%,16.00%,0.00%,15.80%,0.00%,57.90%,60.1
Chris Duarte,IND,55,0.5,3.30%,0.88,0.4,0.1,0.4,38.10%,38.10%,12.00%,4.00%,12.00%,0.00%,44.00%,17.5
Cade Cunningham,DET,64,0.5,2.30%,0.71,0.3,0.2,0.5,33.30%,33.30%,10.00%,0.00%,9.70%,6.50%,35.50%,5
Serge Ibaka,MIL,19,0.8,13.60%,1.31,1.1,0.5,0.7,64.30%,64.30%,12.00%,6.30%,12.50%,6.30%,62.50%,86.8
Chimezie Metu,SAC,61,0.3,2.90%,1.31,0.3,0.1,0.2,75.00%,79.20%,6.00%,18.80%,6.30%,0.00%,62.50%,86.8
Jerami Grant,DET,47,0.4,1.90%,1.24,0.4,0.2,0.3,66.70%,66.70%,18.00%,11.80%,17.60%,0.00%,64.70%,73.8
Chuma Okeke,ORL,70,0.2,2.60%,1.24,0.3,0.1,0.2,53.30%,53.30%,18.00%,0.00%,11.80%,5.90%,58.80%,73.8
Justise Winslow,LAC,37,0.5,10.10%,1.05,0.6,0.2,0.4,50.00%,50.00%,15.00%,10.00%,10.00%,5.00%,50.00%,38.8
Daniel Theis,BOS,21,1,14.30%,1.05,1,0.5,0.7,71.40%,71.40%,5.00%,25.00%,5.00%,0.00%,55.00%,38.8
Zach Collins,SAS,28,0.8,10.00%,0.91,0.8,0.3,0.6,52.90%,52.90%,9.00%,17.40%,8.70%,0.00%,47.80%,21.4
Kevin Porter Jr.,HOU,61,0.2,1.30%,1.43,0.3,0.1,0.2,81.80%,81.80%,14.00%,14.30%,14.30%,7.10%,71.40%,94.7
Mike Muscala,OKC,43,0.4,5.90%,1.18,0.5,0.2,0.3,58.30%,58.30%,29.00%,5.90%,23.50%,5.90%,64.70%,63.8
Jaylen Nowell,MIN,62,0.2,2.50%,1.58,0.3,0.1,0.2,75.00%,79.20%,0.00%,0.00%,0.00%,0.00%,75.00%,99.4
Delon Wright,ATL,77,0.2,4.10%,1.36,0.2,0.1,0.2,64.30%,67.90%,0.00%,0.00%,0.00%,0.00%,64.30%,89.9
Maxi Kleber,DAL,59,0.3,3.90%,1.12,0.3,0.1,0.2,58.30%,58.30%,24.00%,11.80%,17.60%,5.90%,58.80%,52.7
David Duke Jr.,BKN,22,0.8,13.40%,1.12,0.9,0.3,0.6,50.00%,50.00%,18.00%,0.00%,11.80%,0.00%,58.80%,52.7
Jericho Sims,NYK,41,0.4,20.70%,1.06,0.5,0.2,0.3,61.50%,61.50%,28.00%,5.60%,27.80%,5.60%,55.60%,39.9
Brandon Ingram,NOP,55,0.3,1.40%,1.06,0.3,0.1,0.3,43.80%,43.80%,11.00%,0.00%,11.10%,0.00%,50.00%,39.9
DeAndre' Bembry,BKN,48,0.5,8.40%,0.86,0.4,0.2,0.4,45.00%,45.00%,5.00%,4.50%,4.50%,0.00%,45.50%,16.3
Nerlens Noel,NYK,25,0.9,25.00%,0.83,0.8,0.3,0.6,43.80%,43.80%,13.00%,17.40%,13.00%,0.00%,43.50%,12.5
Jeff Green,DEN,75,0.3,3.50%,0.79,0.3,0.1,0.2,31.30%,31.30%,21.00%,16.70%,20.80%,4.20%,37.50%,9.8
Tyrese Haliburton,SAC,51,0.2,1.60%,1.5,0.4,0.2,0.2,80.00%,80.00%,17.00%,8.30%,16.70%,8.30%,75.00%,97.6
Stephen Curry,GSW,64,0.2,0.80%,1.39,0.3,0.1,0.2,58.30%,66.70%,8.00%,0.00%,7.70%,0.00%,61.50%,93.2
Jalen Green,HOU,67,0.2,1.20%,1.29,0.3,0.1,0.1,80.00%,80.00%,7.00%,21.40%,7.10%,0.00%,64.30%,82
Kevin Durant,BKN,55,0.3,0.90%,1.29,0.3,0.1,0.2,72.70%,72.70%,7.00%,14.30%,0.00%,0.00%,64.30%,82
Avery Bradley,LAL,62,0.2,3.50%,1.29,0.3,0.1,0.2,64.30%,64.30%,0.00%,0.00%,0.00%,0.00%,64.30%,82
Bogdan Bogdanovic,ATL,63,0.2,1.60%,1.2,0.3,0.1,0.2,53.80%,53.80%,20.00%,0.00%,20.00%,6.70%,60.00%,67.7
Romeo Langford,BOS,44,0.3,7.00%,1.2,0.4,0.2,0.3,61.50%,61.50%,20.00%,6.70%,20.00%,13.30%,60.00%,67.7
Troy Brown Jr.,CHI,66,0.2,5.10%,1.2,0.3,0.1,0.2,66.70%,66.70%,7.00%,13.30%,6.70%,0.00%,60.00%,67.7
Malik Beasley,MIN,79,0.2,1.60%,1.2,0.2,0.1,0.2,57.10%,64.30%,0.00%,6.70%,0.00%,0.00%,53.30%,67.7
Kevin Huerter,ATL,74,0.2,1.80%,1.13,0.2,0.1,0.2,64.30%,64.30%,0.00%,12.50%,0.00%,0.00%,56.30%,54.8
Alec Burks,NYK,81,0.2,1.90%,1,0.2,0.1,0.1,50.00%,50.00%,28.00%,16.70%,22.20%,0.00%,55.60%,31.7
Nassir Little,POR,42,0.4,4.60%,1,0.4,0.2,0.3,57.10%,57.10%,6.00%,16.70%,5.60%,0.00%,50.00%,31.7
Moses Brown,CLE,14,1.4,25.00%,0.9,1.3,0.5,1.1,43.80%,43.80%,15.00%,5.00%,10.00%,0.00%,45.00%,19.7
