PLAYER,TEAM,GP,putback_POSS,putback_FREQ,putback_PPP,putback_PTS,putback_FGM,putback_FGA,putback_FG%,putback_EFG%,putback_FTFREQ,putback_TOVFREQ,putback_SFFREQ,putback_ANDONEFREQ,putback_SCOREFREQ,putback_PERCENTILE
Cam Reddish,ATL,34,0.4,3.30%,0.93,0.4,0.1,0.3,36.40%,40.90%,14.00%,7.10%,7.10%,0.00%,42.90%,22.8
Wesley Matthews,MIL,49,0.3,5.60%,0.93,0.3,0.1,0.2,55.60%,61.10%,7.00%,28.60%,0.00%,0.00%,42.90%,22.8
De'Andre Hunter,ATL,53,0.3,2.20%,0.81,0.2,0.1,0.2,38.50%,38.50%,12.00%,6.30%,12.50%,0.00%,43.80%,11
James Bouknight,CHA,30,0.4,7.10%,1,0.4,0.2,0.4,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,50.00%,31.8
Caris LeVert,IND,39,0.4,2.10%,0.81,0.3,0.1,0.3,27.30%,27.30%,25.00%,6.30%,18.80%,0.00%,43.80%,11
Nickeil Alexander-Walker,NOP,50,0.4,2.40%,0.72,0.3,0.1,0.3,26.70%,26.70%,17.00%,0.00%,16.70%,0.00%,38.90%,5.9
D'Angelo Russell,MIN,65,0.2,0.80%,1.2,0.2,0.1,0.1,66.70%,66.70%,0.00%,10.00%,0.00%,0.00%,60.00%,67.7
Dennis Smith Jr.,POR,37,0.3,3.80%,1.2,0.3,0.1,0.2,55.60%,61.10%,10.00%,0.00%,10.00%,0.00%,60.00%,67.7
Garrett Temple,NOP,59,0.2,3.10%,1.09,0.2,0.1,0.2,60.00%,60.00%,0.00%,9.10%,0.00%,0.00%,54.50%,47.4
R.J. Hampton,ORL,64,0.2,1.90%,1.09,0.2,0.1,0.2,60.00%,60.00%,9.00%,0.00%,9.10%,0.00%,54.50%,47.4
Jalen Suggs,ORL,48,0.3,1.60%,1,0.3,0.1,0.2,50.00%,50.00%,8.00%,8.30%,8.30%,0.00%,50.00%,31.7
Justise Winslow,POR,11,1.1,8.70%,1,1.1,0.5,1,54.50%,54.50%,8.00%,0.00%,16.70%,8.30%,50.00%,31.7
Cole Anthony,ORL,66,0.2,1.30%,0.8,0.2,0.1,0.2,42.90%,42.90%,0.00%,6.70%,0.00%,0.00%,40.00%,10.4
Reggie Jackson,LAC,75,0.2,1.00%,0.8,0.2,0.1,0.2,30.80%,38.50%,7.00%,6.70%,6.70%,0.00%,33.30%,10.4
Evan Fournier,NYK,80,0.2,1.40%,0.75,0.2,0.1,0.2,35.70%,35.70%,6.00%,6.30%,6.30%,0.00%,37.50%,6.8
Cody Martin,CHA,71,0.3,4.00%,0.57,0.2,0.1,0.2,35.30%,35.30%,10.00%,14.30%,9.50%,4.80%,28.60%,1.8
Greg Monroe,MIL,5,2,34.50%,1.1,2.2,1,1.8,55.60%,55.60%,10.00%,10.00%,10.00%,10.00%,50.00%,49.9
Devonte' Graham,NOP,76,0.1,1.10%,1,0.1,0.1,0.1,50.00%,50.00%,9.00%,9.10%,9.10%,9.10%,45.50%,31.7
Amir Coffey,LAC,69,0.2,2.10%,0.92,0.2,0.1,0.1,40.00%,40.00%,17.00%,0.00%,8.30%,0.00%,50.00%,21.7
Reggie Bullock,DAL,68,0.2,2.40%,0.85,0.2,0.1,0.2,45.50%,50.00%,0.00%,15.40%,0.00%,0.00%,38.50%,15.5
Josh Green,DAL,67,0.2,4.00%,0.85,0.2,0.1,0.1,44.40%,44.40%,15.00%,15.40%,15.40%,0.00%,46.20%,15.5
Spencer Dinwiddie,WAS,44,0.3,2.20%,0.79,0.3,0.1,0.3,33.30%,33.30%,14.00%,0.00%,7.10%,0.00%,42.90%,9
Talen Horton-Tucker,LAL,60,0.2,2.10%,0.79,0.2,0.1,0.2,40.00%,40.00%,14.00%,14.30%,14.30%,0.00%,42.90%,9
Killian Hayes,DET,66,0.2,2.30%,0.79,0.2,0.1,0.1,57.10%,57.10%,14.00%,35.70%,14.30%,0.00%,42.90%,9
Gary Harris,ORL,61,0.3,2.60%,0.65,0.2,0.1,0.2,33.30%,33.30%,18.00%,17.60%,17.60%,5.90%,35.30%,2.7
Ayo Dosunmu,CHI,77,0.2,2.50%,0.65,0.1,0.1,0.2,33.30%,33.30%,6.00%,5.90%,5.90%,0.00%,35.30%,2.7
Josh Richardson,BOS,44,0.2,2.40%,1,0.2,0.1,0.2,42.90%,42.90%,20.00%,10.00%,20.00%,0.00%,50.00%,31.7
Sterling Brown,DAL,49,0.2,5.90%,0.91,0.2,0.1,0.2,33.30%,33.30%,18.00%,0.00%,18.20%,0.00%,45.50%,20.8
Cameron Payne,PHX,58,0.2,1.70%,0.83,0.2,0.1,0.2,41.70%,41.70%,0.00%,0.00%,0.00%,0.00%,41.70%,14
Elfrid Payton,PHX,51,0.2,5.10%,0.83,0.2,0.1,0.2,55.60%,55.60%,0.00%,25.00%,0.00%,0.00%,41.70%,14
Jae Crowder,PHX,67,0.2,2.00%,0.77,0.1,0.1,0.1,40.00%,45.00%,8.00%,15.40%,7.70%,0.00%,38.50%,8.3
Zach LaVine,CHI,67,0.2,0.90%,0.71,0.1,0.1,0.2,36.40%,36.40%,7.00%,14.30%,7.10%,0.00%,35.70%,5.4
Marcus Morris Sr.,LAC,54,0.2,1.20%,0.9,0.2,0.1,0.1,37.50%,37.50%,20.00%,10.00%,20.00%,10.00%,40.00%,19.7
Norman Powell,POR,40,0.3,1.50%,0.9,0.2,0.1,0.2,50.00%,50.00%,20.00%,10.00%,20.00%,10.00%,50.00%,19.7
Josh Okogie,MIN,49,0.2,7.40%,0.82,0.2,0.1,0.2,37.50%,37.50%,18.00%,9.10%,18.20%,0.00%,45.50%,11.6
Svi Mykhailiuk,TOR,56,0.2,3.90%,0.82,0.2,0.1,0.1,37.50%,37.50%,18.00%,9.10%,18.20%,0.00%,45.50%,11.6
Torrey Craig,PHX,27,0.4,6.20%,0.75,0.3,0.1,0.3,44.40%,44.40%,8.00%,16.70%,8.30%,0.00%,41.70%,6.8
Brandon Boston Jr.,LAC,51,0.3,3.40%,0.69,0.2,0.1,0.2,33.30%,33.30%,8.00%,0.00%,7.70%,0.00%,38.50%,4.5
Buddy Hield,IND,26,0.6,3.10%,0.6,0.3,0.2,0.4,40.00%,45.00%,0.00%,33.30%,0.00%,0.00%,26.70%,2.1
Lonnie Walker IV,SAS,70,0.2,1.20%,0.73,0.1,0,0.1,28.60%,28.60%,18.00%,18.20%,18.20%,0.00%,36.40%,6.2
Georges Niang,PHI,76,0.2,1.90%,0.67,0.1,0,0.1,30.00%,40.00%,0.00%,16.70%,0.00%,0.00%,25.00%,3.3
Quentin Grimes,NYK,46,0.2,3.70%,0.7,0.2,0,0.2,28.60%,28.60%,30.00%,10.00%,20.00%,10.00%,30.00%,4.7
Theo Maledon,OKC,51,0.2,2.60%,0.64,0.1,0,0.1,33.30%,41.70%,9.00%,36.40%,9.10%,0.00%,27.30%,2.4
Alex Caruso,CHI,41,0.3,3.70%,0.54,0.2,0.1,0.3,27.30%,27.30%,15.00%,0.00%,15.40%,0.00%,30.80%,1.5
Jalen McDaniels,CHA,55,0.3,4.60%,0.47,0.1,0.1,0.2,25.00%,25.00%,7.00%,6.70%,13.30%,0.00%,26.70%,0.9
Taurean Prince,MIN,69,0.2,2.70%,0.46,0.1,0,0.1,10.00%,10.00%,15.00%,7.70%,15.40%,0.00%,23.10%,0.6
Immanuel Quickley,NYK,78,0.1,1.10%,0.5,0.1,0,0.1,16.70%,25.00%,10.00%,30.00%,0.00%,0.00%,20.00%,1.2
Grayson Allen,MIL,66,0.2,1.60%,0.2,0,0,0.1,12.50%,12.50%,0.00%,20.00%,0.00%,0.00%,10.00%,0
