,TO,PTS,Ast%,Ast/100,Blk%,Blk/100,Box D-DPM,Box DPM,Box O-DPM,D-DPM,DPM,DPM Improvement,Experience,FG2%,FG3%,SEC,FG3A/100,FG3ARate%,FGA/100,FT%,FTA/100,FTARate%,O-DPM,Player,Reb/100,Stl%,Stl/100,Team,Tov/100,Usg%,MIN
0,9,36,28.20%,7.7,2.00%,1.8,1.1,4.5,3.4,2.8,7.3,-0.2,Vet,62.40%,27.20%,0,3.8,19.60%,28.2,67.60%,13.9,56.50%,4.5,Giannis Antetokounmpo,17.5,1.50%,1.5,Milwaukee Bucks,4.9,33.30%,39.0
16,5,36,27.60%,8.8,0.80%,0.7,-0.1,1.9,2.0,1.0,3.8,0.4,Vet,51.80%,33.50%,0,7.9,39.40%,21.1,75.60%,4.2,20.80%,2.8,Jrue Holiday,6.6,2.20%,2.2,Milwaukee Bucks,3.7,23.70%,40.0
26,4,20,26.50%,8.1,0.60%,0.4,-0.2,1.7,2.0,0.2,2.6,0.1,Vet,46.60%,34.90%,0,10.6,47.00%,23.7,85.70%,6.5,27.60%,2.4,Khris Middleton,8.0,1.60%,1.7,Milwaukee Bucks,3.6,26.40%,21.0
42,4,6,3.70%,1.2,2.80%,2.6,0.5,0.9,0.3,2.6,2.0,-0.8,Vet,57.50%,33.00%,0,7.0,36.80%,17.8,82.50%,4.6,23.90%,-0.6,Brook Lopez,9.6,1.10%,1.1,Milwaukee Bucks,1.8,19.30%,14.0
86,3,8,5.60%,1.9,1.20%,1.0,-0.7,-0.5,0.2,0.7,1.0,0.9,Vet,52.50%,36.50%,0,8.6,43.70%,19.5,73.00%,2.7,14.90%,0.4,Bobby Portis,15.9,1.30%,1.3,Milwaukee Bucks,1.7,20.20%,18.0
102,2,0,16.90%,4.9,0.40%,0.4,-0.2,-1.6,-1.4,0.6,0.7,2.3,Vet,50.50%,32.50%,0,5.6,47.10%,13.5,79.60%,3.2,24.00%,0.2,George Hill,6.0,1.60%,1.7,Milwaukee Bucks,1.7,12.70%,12.0
128,1,12,7.30%,2.3,0.60%,0.5,-0.2,0.4,0.6,0.1,0.4,0.8,Vet,52.00%,37.30%,0,10.1,67.80%,13.6,84.20%,2.5,19.50%,0.4,Grayson Allen,6.0,1.30%,1.3,Milwaukee Bucks,1.2,14.20%,28.0
169,2,6,14.80%,5.2,0.70%,0.6,0.8,0.4,-0.3,0.3,-0.1,0.0,Vet,47.60%,35.10%,0,6.5,56.60%,11.4,79.20%,1.7,14.60%,-0.3,Jevon Carter,6.2,1.70%,1.6,Milwaukee Bucks,1.7,12.00%,12.0
177,1,6,7.10%,2.3,0.70%,0.5,-0.4,0.2,0.6,-0.6,-0.1,0.2,Vet,57.60%,34.20%,0,12.3,78.20%,14.2,82.20%,1.9,16.70%,0.4,Pat Connaughton,8.0,1.30%,1.3,Milwaukee Bucks,1.0,14.50%,16.0
286,1,0,6.50%,2.1,2.10%,2.0,0.9,-0.7,-1.7,0.5,-1.1,-2.4,Vet,53.30%,35.70%,0,5.7,30.70%,17.7,74.00%,3.3,19.20%,-1.6,Serge Ibaka,14.6,0.70%,0.8,Milwaukee Bucks,2.2,19.30%,1.0
