,TO,PTS,Ast%,Ast/100,Blk%,Blk/100,Box D-DPM,Box DPM,Box O-DPM,D-DPM,DPM,DPM Improvement,Experience,FG2%,FG3%,SEC,FG3A/100,FG3ARate%,FGA/100,FT%,FTA/100,FTARate%,O-DPM,Player,Reb/100,Stl%,Stl/100,Team,Tov/100,Usg%,MIN
15,6,16,4.60%,1.6,3.00%,2.6,1.5,2.1,0.6,3.8,3.8,-1.0,Vet,67.10%,12.40%,0,0.6,4.20%,10.7,65.30%,10.5,85.20%,0.0,Rudy Gobert,20.6,0.90%,0.9,Utah Jazz,2.5,17.10%,26.0
19,3,50,26.40%,7.9,0.40%,0.4,-1.2,3.3,4.6,-1.0,3.6,0.7,Vet,50.30%,34.80%,0,12.2,43.90%,29.1,84.80%,8.3,29.50%,4.6,Donovan Mitchell,6.3,1.70%,1.7,Utah Jazz,4.3,32.90%,40.0
32,4,12,28.10%,9.1,0.60%,0.6,0.8,0.8,0.0,1.4,2.4,-1.0,Vet,46.30%,36.60%,0,9.4,50.90%,17.9,80.90%,4.3,22.50%,1.0,Mike Conley,5.4,2.00%,2.1,Utah Jazz,3.2,19.10%,34.0
61,3,22,13.70%,4.2,0.50%,0.4,-0.4,2.0,2.4,-0.9,1.6,1.2,Vet,52.20%,33.80%,0,11.2,46.80%,23.2,83.90%,4.5,20.70%,2.5,Jordan Clarkson,6.4,1.40%,1.4,Utah Jazz,2.9,23.50%,25.0
91,3,0,3.70%,1.3,5.40%,4.5,1.5,1.9,0.3,1.3,0.9,2.3,Vet,62.80%,11.20%,0,0.7,4.40%,12.8,57.70%,6.5,50.60%,-0.4,Hassan Whiteside,22.0,0.90%,1.0,Utah Jazz,2.4,16.10%,3.0
170,2,12,8.30%,2.7,0.20%,0.2,-1.5,0.1,1.6,-1.4,-0.1,-0.2,Vet,49.80%,37.70%,0,10.6,51.70%,20.6,85.00%,5.9,28.50%,1.3,Bojan Bogdanovic,6.7,0.90%,0.9,Utah Jazz,2.6,23.70%,16.0
197,1,10,6.50%,2.2,1.00%,0.8,0.3,-0.8,-1.2,0.6,-0.3,1.1,Vet,50.20%,35.10%,0,7.6,60.90%,11.8,72.00%,3.7,27.50%,-0.9,Danuel House Jr.,7.2,1.20%,1.2,Utah Jazz,1.6,13.20%,12.0
202,1,4,9.10%,3.3,0.70%,0.6,0.0,-0.5,-0.5,0.2,-0.4,-0.1,Vet,55.60%,35.80%,0,7.4,71.20%,8.9,79.60%,1.3,14.90%,-0.5,Royce O'Neale,8.0,1.40%,1.4,Utah Jazz,1.3,9.60%,11.0
207,0,10,7.60%,2.4,1.30%,1.2,-0.4,-1.7,-1.3,0.4,-0.4,-0.4,Vet,45.10%,33.70%,0,9.5,50.20%,18.4,76.50%,4.3,18.80%,-0.8,Rudy Gay,11.6,1.30%,1.3,Utah Jazz,2.3,19.30%,21.0
252,1,6,7.20%,2.4,1.00%,0.8,0.6,-0.5,-1.1,0.2,-0.8,0.6,Vet,52.70%,33.20%,0,9.5,65.90%,13.6,59.30%,3.6,28.40%,-1.0,Juancho Hernangomez,10.9,1.30%,1.3,Utah Jazz,1.5,14.60%,9.0
321,0,0,19.20%,7.1,0.60%,0.6,-0.6,-1.1,-0.4,-0.7,-1.3,0.6,Sophomore,51.10%,27.80%,0,2.7,17.60%,11.9,76.40%,3.6,28.70%,-0.6,Trent Forrest,6.7,1.80%,1.8,Utah Jazz,3.3,13.90%,2.0
322,1,0,7.10%,2.4,0.50%,0.4,-1.1,-0.8,0.3,-1.3,-1.3,1.1,Vet,55.70%,32.70%,0,6.5,38.50%,17.3,71.10%,7.0,36.10%,0.0,Eric Paschall,8.2,0.90%,0.9,Utah Jazz,2.2,19.20%,2.0
