Player,Age,zero,one,two,three,four,five,Signed,Guaranteed,Team 
Moses Brown,22,"$19,186",,,,,,Minimum Salary,"$211,046",Cavaliers
Brandon Goodwin,26,,,,,,,Two-Way Contract,"$99,380",Cavaliers
Kevin Pangos,29,"$1,669,178",,,,,,,"$1,669,178",Cavaliers
J.R. Smith,36,"$1,456,666",,,,,,,"$1,456,666",Cavaliers
Gordon Hayward,32,"$29,925,000","$30,075,000","$31,500,000",,,,Sign and Trade,"$91,500,000",Hornets
Terry Rozier,28,"$17,905,263","$21,486,316","$23,205,221","$24,924,126","$26,643,031",,Sign and Trade,"$114,163,957",Hornets
Kelly Oubre Jr.,26,"$12,000,000","$12,600,000",,,,,Cap Space,"$17,000,000",Hornets
Montrezl Harrell,28,"$9,720,900",,,,,,MLE,"$9,720,900",Hornets
LaMelo Ball,20,"$8,231,760","$8,623,920","$10,900,635",,,,1st Round Pick,"$16,855,680",Hornets
Mason Plumlee,32,"$8,137,500","$8,525,000",,,,,Cap space,"$16,662,500",Hornets
Miles Bridges,24,"$5,421,493",,,,,,1st Round Pick,"$5,421,493",Hornets
P.J. Washington,23,"$4,215,120","$5,808,435",,,,,1st Round Pick,"$10,023,555",Hornets
James Bouknight,21,"$4,154,400","$4,362,240","$4,570,080","$6,064,496",,,1st Round Pick,"$8,516,640",Hornets
Kai Jones,21,"$2,770,560","$2,909,160","$3,047,760","$4,693,550",,,1st Round Pick,"$5,679,720",Hornets
Cody Martin,26,"$1,782,621",,,,,,MLE,"$1,782,621",Hornets
Jalen McDaniels,24,"$1,782,621","$1,930,681",,,,,Minimum Salary,"$3,713,302",Hornets
Nick Richards,24,"$1,517,981","$1,782,621",,,,,Cap Space,"$1,517,981",Hornets
JT Thor,19,"$1,250,000","$1,563,518","$1,836,096","$1,988,598",,,Cap Space,"$2,813,518",Hornets
Isaiah Thomas,33,"$276,039",,,,,,Minimum Salary,"$552,077",Hornets
Scottie Lewis,22,,,,,,,Two-Way Contract,,Hornets
Arnoldas Kulboka,24,,,,,,,Two-Way Contract,,Hornets
Nicolas Batum,33,"$8,856,969","$8,856,969",,,,,,"$17,713,938",Hornets
DeMar DeRozan,32,"$26,000,000","$27,300,000","$28,600,000",,,,Sign and Trade,"$81,900,000",Bulls
Nikola Vučević,31,"$24,000,000","$22,000,000",,,,,Bird Rights,"$46,000,000",Bulls
Zach LaVine,27,"$19,500,000",,,,,,Cap space,"$19,500,000",Bulls
Lonzo Ball,24,"$18,604,651","$19,534,884","$20,465,117","$21,395,348",,,Sign and Trade,"$58,604,652",Bulls
Derrick Jones Jr.,25,"$9,720,900",,,,,,MLE,"$9,720,900",Bulls
Alex Caruso,28,"$8,604,651","$9,034,884","$9,465,116","$9,895,349",,,MLE,"$37,000,000",Bulls
Patrick Williams,20,"$7,422,000","$7,775,400","$9,835,881",,,,1st Round Pick,"$15,197,400",Bulls
Coby White,22,"$5,837,760","$7,413,955",,,,,1st Round Pick,"$5,837,760",Bulls
Troy Brown Jr.,22,"$5,170,564",,,,,,1st Round Pick,"$5,170,564",Bulls
Tony Bradley,24,"$1,789,256","$2,036,318",,,,,Minimum Salary,"$3,825,574",Bulls
Matt Thomas,27,"$1,669,178",,,,,,Minimum Salary,"$1,669,178",Bulls
Javonte Green,28,"$1,669,178","$1,815,677",,,,,Minimum Salary,"$3,484,855",Bulls
Tristan Thompson,31,"$1,000,000",,,,,,Bi-Annual Exception,"$1,000,000",Bulls
Marko Simonovic,22,"$925,258","$1,563,518","$1,836,096",,,,MLE,"$2,488,776",Bulls
Ayo Dosunmu,22,"$925,258","$1,563,518",,,,,Minimum Salary,"$925,258",Bulls
Malcolm Hill,26,,,,,,,Two-Way Contract,"$53,176",Bulls
Tyler Cook,24,,,,,,,Two-Way Contract,,Bulls
Alfonzo McKinnie,29,"$1,090,007",,,,,,,"$1,293,926",Bulls
Alize Johnson,26,"$705,598",,,,,,,"$705,598",Bulls
Kevin Durant,33,"$40,918,900","$44,119,845","$46,407,433","$49,856,021","$53,282,609",,Sign and Trade,"$234,584,808",Nets
Kyrie Irving,30,"$34,916,200","$36,503,300",,,,,Cap space,"$71,419,500",Nets
Ben Simmons,25,"$33,003,936","$35,448,672","$37,893,408","$40,338,144",,,1st Round pick,"$146,684,160",Nets
Joe Harris,30,"$17,357,143","$18,642,857","$19,928,571",,,,Bird,"$55,928,571",Nets
Seth Curry,31,"$8,207,518","$8,496,653",,,,,MLE,"$16,704,171",Nets
Patty Mills,33,"$5,890,000","$6,184,500",,,,,Mini MLE,"$5,890,000",Nets
Bruce Brown,25,"$4,736,102",,,,,,,"$4,736,102",Nets
LaMarcus Aldridge,36,"$2,641,691",,,,,,Minimum Salary,"$2,641,691",Nets
Blake Griffin,33,"$2,641,691",,,,,,Minimum Salary,"$2,641,691",Nets
Andre Drummond,28,"$2,401,537",,,,,,Minimum Salary,"$2,401,537",Nets
Cam Thomas,20,"$2,036,280","$2,138,160","$2,240,040","$4,041,032",,,1st Round Pick,"$4,174,440",Nets
Day'Ron Sharpe,20,"$2,009,040","$2,109,360","$2,210,160","$3,989,339",,,1st Round Pick,"$4,118,400",Nets
Nic Claxton,23,"$1,782,621",,,,,,Minimum Salary,"$1,782,621",Nets
Goran Dragić,36,"$728,742",,,,,,Minimum Salary,"$728,742",Nets
Kessler Edwards,21,"$5,318","$1,563,518",,,,,Minimum Salary,"$5,318",Nets
David Duke Jr.,22,,,,,,,Two-Way Contract,,Nets
Jevon Carter,26,"$3,650,000","$3,925,000",,,,,,"$7,575,000",Nets
James Johnson,35,"$2,641,691",,,,,,,"$2,641,691",Nets
DeAndre' Bembry,27,"$1,939,350",,,,,,,"$1,939,350",Nets
John Collins,24,"$23,000,000","$23,500,000","$25,340,000","$26,580,000","$26,580,000",,Bird,"$125,000,000",Hawks
Danilo Gallinari,33,"$20,475,000",,,,,,Sign and Trade,"$20,475,000",Hawks
Bogdan Bogdanović,29,"$18,000,000","$18,000,000","$18,000,000",,,,Cap Space,"$36,000,000",Hawks
Clint Capela,28,"$17,103,448","$18,206,897","$20,616,000","$22,265,280",,,Bird Rights,"$78,191,625",Hawks
Delon Wright,30,"$8,526,316",,,,,,Sign and Trade,"$8,526,316",Hawks
Trae Young,23,"$8,326,471","$29,750,000","$32,130,000","$34,510,000","$36,890,000","$39,270,000",1st Round Pick,"$180,876,471",Hawks
De'Andre Hunter,24,"$7,775,400","$9,835,881",,,,,1st Round Pick,"$17,611,281",Hawks
Onyeka Okongwu,21,"$6,104,280","$6,395,160","$8,109,063",,,,1st Round Pick,"$12,499,440",Hawks
Kevin Knox,22,"$5,845,978",,,,,,1st Round Pick,"$5,845,978",Hawks
Lou Williams,35,"$5,000,000",,,,,,Bird,"$5,000,000",Hawks
Kevin Huerter,23,"$4,253,357","$14,508,929","$15,669,643","$16,830,357","$17,991,071",,1st Round Pick,"$69,253,357",Hawks
Gorgui Dieng,32,"$4,000,000",,,,,,MLE,"$4,000,000",Hawks
Jalen Johnson,20,"$2,659,560","$2,792,520","$2,925,480","$4,511,090",,,1st Round Pick,"$5,452,080",Hawks
Timothé Luwawu-Cabarrot,27,"$1,939,350",,,,,,Minimum Salary,"$1,939,350",Hawks
Skylar Mays,24,"$34,231",,,,,,Minimum Salary,"$34,231",Hawks
Sharife Cooper,21,,,,,,,Two-Way Contract,,Hawks
Chaundee Brown Jr.,23,,,,,,,Two-Way Contract,"$53,176",Hawks
Jayson Tatum,24,"$28,103,550","$30,351,834","$32,600,118","$34,848,402","$37,096,686",,Bird,"$125,903,904",Celtics
Al Horford,36,"$27,000,000","$26,500,000",,,,,Cap Space,"$41,500,000",Celtics
Jaylen Brown,25,"$24,830,357","$26,669,643","$28,508,929",,,,1st Round pick,"$80,008,929",Celtics
Derrick White,28,"$15,178,571","$16,392,857","$17,607,143","$18,821,429",,,Bird,"$68,000,000",Celtics
Marcus Smart,28,"$13,839,285","$16,607,142","$18,583,713","$19,960,285","$21,336,856",,Bird Rights,"$90,327,281",Celtics
Daniel Theis,30,"$8,280,351","$8,694,369","$9,108,386","$9,522,404",,,Sign and Trade,"$26,083,106",Celtics
Robert Williams,24,"$3,661,976","$10,700,000","$11,556,000","$12,412,000","$13,268,000",,1st Round Pick,"$51,597,976",Celtics
Aaron Nesmith,22,"$3,631,200","$3,804,360","$5,634,257",,,,1st Round Pick,"$7,435,560",Celtics
Grant Williams,23,"$2,617,800","$4,306,281",,,,,1st Round Pick,"$6,924,081",Celtics
Payton Pritchard,24,"$2,137,440","$2,239,200","$4,037,278",,,,1st Round Pick,"$4,376,640",Celtics
Luke Kornet,26,"$606,702",,,,,,Minimum Salary,"$606,702",Celtics
Nik Stauskas,28,"$423,536","$2,193,920",,,,,Minimum Salary,"$423,536",Celtics
Sam Hauser,24,"$313,737","$1,563,518",,,,,Minimum Salary,"$313,737",Celtics
Malik Fitts,24,"$231,062","$1,752,638",,,,,Minimum Salary,"$402,218",Celtics
Juwan Morgan,25,"$19,186","$1,815,677",,,,,Minimum Salary,"$115,116",Celtics
Matt Ryan,25,,,,,,,Two-Way Contract,,Celtics
Brodric Thomas,25,,,,,,,Two-Way Contract,,Celtics
Jabari Parker,27,"$1,068,288",,,,,,,"$1,168,288",Celtics
Guerschon Yabusele,26,"$1,039,080",,,,,,,"$1,039,080",Celtics
Demetrius Jackson,27,"$92,857","$92,857","$92,857",,,,,"$278,571",Celtics
