Player,Age,zero,one,two,three,four,five,Signed,Guaranteed,Team 
Georgios Kalaitzakis,23,"$462,629",,,,,,,"$462,629",Bucks
Jimmy Butler,32,"$36,016,200","$37,653,300","$45,183,960","$48,798,677","$52,413,394",,Sign and Trade,"$167,652,137",Heat
Bam Adebayo,24,"$28,103,550","$30,351,834","$32,600,118","$34,848,402","$37,096,686",,Bird,"$163,000,590",Heat
Kyle Lowry,36,"$26,984,128","$28,333,334","$29,682,540",,,,Bird,"$85,000,002",Heat
Duncan Robinson,28,"$15,560,000","$16,902,000","$18,154,000","$19,406,000","$19,888,000",,Bird,"$79,910,000",Heat
P.J. Tucker,37,"$7,000,000","$7,350,000",,,,,MLE,"$7,000,000",Heat
Tyler Herro,22,"$4,004,280","$5,722,116",,,,,1st Round Pick,"$9,726,396",Heat
Udonis Haslem,42,"$2,641,691",,,,,,Minimum Salary,"$2,641,691",Heat
Markieff Morris,32,"$2,641,691",,,,,,Minimum Salary,"$2,641,691",Heat
Dewayne Dedmon,32,"$2,389,641",,,,,,Minimum Salary,"$2,389,641",Heat
Victor Oladipo,30,"$2,389,641",,,,,,Minimum Salary,"$2,389,641",Heat
Gabe Vincent,26,"$1,669,178","$1,815,677",,,,,Minimum Salary,"$1,669,178",Heat
Max Strus,26,"$1,669,178","$1,815,677",,,,,Minimum Salary,"$1,669,178",Heat
Omer Yurtseven,24,"$1,489,065","$1,752,638",,,,,Minimum Salary,"$1,489,065",Heat
Caleb Martin,26,"$527,615",,,,,,Minimum Salary,"$527,615",Heat
Haywood Highsmith,25,"$290,967","$1,752,638","$1,902,137",,,,MLE,"$547,701",Heat
Javonte Smart,23,,,,,,,Two-Way Contract,,Heat
Mychal Mulder,28,,,,,,,Two-Way Contract,,Heat
Ryan Anderson,34,"$5,214,584",,,,,,,"$5,214,584",Heat
Steven Adams,28,"$17,073,171","$17,926,829",,,,,1st Round Pick,"$35,000,000",Grizzlies
Dillon Brooks,26,"$12,200,000","$11,400,000",,,,,MLE,"$23,600,000",Grizzlies
Kyle Anderson,28,"$9,937,150",,,,,,MLE,"$9,937,150",Grizzlies
Ja Morant,22,"$9,603,360","$12,119,440",,,,,1st Round Pick,"$21,722,800",Grizzlies
Jaren Jackson Jr.,22,"$9,180,560","$23,437,500","$25,312,500","$27,187,500","$29,062,500",,1st Round Pick,"$114,180,560",Grizzlies
De'Anthony Melton,24,"$8,805,976",,,,,,Early Bird,"$8,805,976",Grizzlies
Tyus Jones,26,"$7,600,000",,,,,,MLE,"$7,600,000",Grizzlies
Jarrett Culver,23,"$6,395,160","$8,109,063",,,,,1st Round Pick,"$6,395,160",Grizzlies
Ziaire Williams,20,"$4,373,160","$4,591,920","$4,810,200","$6,133,005",,,1st Round Pick,"$8,965,080",Grizzlies
Brandon Clarke,25,"$2,726,880","$4,343,920",,,,,1st Round Pick,"$7,070,800",Grizzlies
John Konchar,26,"$2,200,000","$2,300,000","$2,400,000",,,,MLE,"$3,040,000",Grizzlies
