,TO,PTS,Ast%,Ast/100,Blk%,Blk/100,Box D-DPM,Box DPM,Box O-DPM,D-DPM,DPM,DPM Improvement,Experience,FG2%,FG3%,SEC,FG3A/100,FG3ARate%,FGA/100,FT%,FTA/100,FTARate%,O-DPM,Player,Reb/100,Stl%,Stl/100,Team,Tov/100,Usg%,MIN
0,2,34,28.20%,7.7,2.00%,1.8,1.1,4.5,3.4,2.8,7.3,-0.2,Vet,62.40%,27.20%,0,3.8,19.60%,28.2,67.60%,13.9,56.50%,4.5,Giannis Antetokounmpo,17.5,1.50%,1.5,Milwaukee Bucks,4.9,33.30%,40.0
16,5,14,27.60%,8.8,0.80%,0.7,-0.1,1.9,2.0,1.0,3.8,0.4,Vet,51.80%,33.50%,0,7.9,39.40%,21.1,75.60%,4.2,20.80%,2.8,Jrue Holiday,6.6,2.20%,2.2,Milwaukee Bucks,3.7,23.70%,33.0
26,4,12,26.50%,8.1,0.60%,0.4,-0.2,1.7,2.0,0.2,2.6,0.1,Vet,46.60%,34.90%,0,10.6,47.00%,23.7,85.70%,6.5,27.60%,2.4,Khris Middleton,8.0,1.60%,1.7,Milwaukee Bucks,3.6,26.40%,12.0
42,2,30,3.70%,1.2,2.80%,2.6,0.5,0.9,0.3,2.6,2.0,-0.8,Vet,57.50%,33.00%,0,7.0,36.80%,17.8,82.50%,4.6,23.90%,-0.6,Brook Lopez,9.6,1.10%,1.1,Milwaukee Bucks,1.8,19.30%,40.0
86,3,14,5.60%,1.9,1.20%,1.0,-0.7,-0.5,0.2,0.7,1.0,0.9,Vet,52.50%,36.50%,0,8.6,43.70%,19.5,73.00%,2.7,14.90%,0.4,Bobby Portis,15.9,1.30%,1.3,Milwaukee Bucks,1.7,20.20%,29.0
102,1,4,16.90%,4.9,0.40%,0.4,-0.2,-1.6,-1.4,0.6,0.7,2.3,Vet,50.50%,32.50%,0,5.6,47.10%,13.5,79.60%,3.2,24.00%,0.2,George Hill,6.0,1.60%,1.7,Milwaukee Bucks,1.7,12.70%,20.0
128,1,4,7.30%,2.3,0.60%,0.5,-0.2,0.4,0.6,0.1,0.4,0.8,Vet,52.00%,37.30%,0,10.1,67.80%,13.6,84.20%,2.5,19.50%,0.4,Grayson Allen,6.0,1.30%,1.3,Milwaukee Bucks,1.2,14.20%,24.0
169,1,2,14.80%,5.2,0.70%,0.6,0.8,0.4,-0.3,0.3,-0.1,0.0,Vet,47.60%,35.10%,0,6.5,56.60%,11.4,79.20%,1.7,14.60%,-0.3,Jevon Carter,6.2,1.70%,1.6,Milwaukee Bucks,1.7,12.00%,3.0
177,1,0,7.10%,2.3,0.70%,0.5,-0.4,0.2,0.6,-0.6,-0.1,0.2,Vet,57.60%,34.20%,0,12.3,78.20%,14.2,82.20%,1.9,16.70%,0.4,Pat Connaughton,8.0,1.30%,1.3,Milwaukee Bucks,1.0,14.50%,0.0
286,0,0,6.50%,2.1,2.10%,2.0,0.9,-0.7,-1.7,0.5,-1.1,-2.4,Vet,53.30%,35.70%,0,5.7,30.70%,17.7,74.00%,3.3,19.20%,-1.6,Serge Ibaka,14.6,0.70%,0.8,Milwaukee Bucks,2.2,19.30%,0.0
336,0,0,7.60%,2.6,1.40%,1.2,-0.4,-1.1,-0.7,-0.6,-1.4,1.5,Rookie,53.00%,30.50%,0,6.8,44.70%,14.6,73.40%,4.5,28.20%,-0.8,Sandro Mamukelashvili,11.0,1.20%,1.2,Milwaukee Bucks,2.1,17.40%,0.0
348,0,0,6.00%,2.0,0.60%,0.5,-0.5,-2.8,-2.3,0.4,-1.5,-0.4,Vet,48.70%,34.40%,0,7.9,74.90%,8.9,77.90%,1.7,17.90%,-1.9,Wesley Matthews,4.9,1.30%,1.3,Milwaukee Bucks,0.9,10.00%,0.0
377,0,0,7.90%,2.4,1.20%,1.1,0.2,-1.0,-1.3,-0.1,-1.7,-0.1,Vet,59.00%,22.80%,0,2.1,12.00%,13.8,58.30%,6.5,41.10%,-1.6,Thanasis Antetokounmpo,10.9,1.70%,1.6,Milwaukee Bucks,2.7,17.80%,0.0
451,0,0,12.40%,4.2,0.50%,0.4,-1.0,-2.3,-1.3,-1.0,-2.3,-0.1,Vet,49.20%,28.80%,0,4.5,48.90%,11.3,73.80%,4.5,32.10%,-1.3,Rayjon Tucker,6.8,1.60%,1.5,Milwaukee Bucks,1.8,13.00%,0.0
467,0,0,22.80%,7.4,0.40%,0.4,-0.6,-2.5,-1.8,-0.6,-2.5,-0.2,Sophomore,46.10%,29.30%,0,10.1,68.30%,15.3,78.30%,3.7,21.70%,-1.8,Luca Vildoza,5.8,2.10%,2.0,Milwaukee Bucks,2.7,17.40%,0.0
478,0,0,19.30%,6.2,0.30%,0.3,-1.2,-2.6,-1.4,-1.2,-2.6,-0.1,Rookie,48.00%,30.10%,0,7.2,44.60%,15.1,64.50%,7.1,39.60%,-1.4,Lindell Wigginton,5.5,1.70%,1.7,Milwaukee Bucks,3.7,20.10%,0.0
498,0,0,7.50%,2.4,0.80%,0.7,-1.5,-3.5,-2.0,-1.6,-3.2,-0.5,Sophomore,46.30%,31.90%,0,8.4,44.20%,18.9,78.20%,3.5,17.20%,-1.7,Jordan Nwora,9.3,1.10%,1.1,Milwaukee Bucks,2.3,19.90%,0.0
14,2,28,22.00%,7.1,0.80%,0.7,0.1,2.4,2.3,1.2,3.9,0.4,Vet,51.10%,28.70%,0,4.2,22.00%,22.6,85.80%,11.2,52.60%,2.6,Jimmy Butler,9.3,2.50%,2.4,Miami Heat,2.8,25.50%,40.0
22,4,28,15.70%,5.1,1.50%,1.4,1.5,1.9,0.4,1.8,2.8,0.8,Vet,58.80%,16.70%,0,0.6,4.10%,17.7,76.30%,8.7,50.90%,1.0,Bam Adebayo,15.2,1.90%,1.9,Miami Heat,3.7,23.00%,32.0
43,4,22,28.30%,9.7,0.50%,0.4,0.6,0.4,-0.2,1.1,2.0,0.2,Vet,48.30%,34.30%,0,9.8,69.00%,13.4,81.10%,4.7,31.10%,0.8,Kyle Lowry,6.6,1.50%,1.5,Miami Heat,3.4,16.30%,13.0
79,2,16,6.10%,1.9,1.00%,0.9,1.3,1.3,0.0,1.2,1.1,2.2,Vet,52.50%,34.40%,0,6.7,42.60%,15.1,72.60%,3.6,23.30%,-0.1,Caleb Martin,8.1,2.10%,2.1,Miami Heat,1.9,15.90%,31.0
135,2,10,8.40%,2.9,0.50%,0.5,-0.7,0.2,0.9,-0.5,0.3,0.8,Vet,57.80%,36.80%,0,13.6,79.60%,16.8,77.00%,1.9,14.40%,0.8,Max Strus,5.9,1.10%,1.1,Miami Heat,1.5,17.00%,21.0
147,1,22,8.50%,2.7,0.50%,0.4,-0.8,-0.1,0.7,-0.3,0.2,-0.8,Vet,57.60%,35.30%,0,16.5,94.30%,16.1,82.80%,1.9,16.30%,0.4,Duncan Robinson,5.1,1.00%,1.0,Miami Heat,1.4,16.40%,34.0
