Team,Player,Experience,DPM,DPM Improvement,O-DPM,D-DPM,Box DPM,Box O-DPM,Box D-DPM,FGA/100,FG2%,FG3A/100,FG3%,FG3ARate%,FTA/100,FT%,FTARate%,Usg%,Reb/100,Ast/100,Ast%,Blk/100,Blk%,Stl/100,Stl%,Tov/100
Detroit Pistons,Jerami Grant,Vet,-0.8,-0.5,-0.6,-0.2,-0.1,0.6,-0.6,23.1,48.10%,9.7,36.20%,42.40%,9.1,79.70%,40.30%,25.20%,6.4,3.3,10.50%,1.5,1.70%,1.1,1.10%,2.5
Sacramento Kings,Justin Holiday,Vet,-0.8,-0.7,-0.8,0,-0.3,-0.5,0.1,14.7,47.10%,11.2,36.20%,72.10%,1.9,78.30%,14.50%,15.50%,4.9,2.8,8.50%,0.8,1.00%,1.5,1.50%,1.5
Golden State Warriors,Jonathan Kuminga,Rookie,-0.8,1.1,0.1,-0.9,-0.7,0.4,-1,18.1,57.90%,5.4,30.60%,29.90%,8.3,69.00%,45.30%,21.80%,10.5,2.9,8.70%,1.1,1.40%,1.3,1.30%,3.1
Phoenix Suns,Ish Wainright,Rookie,-0.8,1.4,-1.3,0.5,-0.7,-1.3,0.6,15.6,48.70%,9.2,31.80%,59.50%,3.3,69.70%,21.40%,16.00%,7.6,2.1,8.00%,0.7,0.80%,2.1,2.20%,2.3
Minnesota Timberwolves,Taurean Prince,Vet,-0.8,0.6,-0.4,-0.4,0.1,-0.1,0.3,17.2,49.80%,9.8,34.60%,58.70%,4,77.00%,24.40%,18.80%,7.2,2.9,8.80%,0.9,1.00%,1.7,1.70%,2.4
Indiana Pacers,Jalen Smith,Sophomore,-0.8,2.1,-0.3,-0.5,-0.5,-0.3,-0.2,19.5,57.70%,8.1,32.10%,39.20%,5.8,74.60%,29.80%,20.70%,14.9,1.6,4.90%,2.1,2.50%,0.9,0.90%,2.2
Memphis Grizzlies,Ziaire Williams,Rookie,-0.8,1.1,0,-0.8,-0.9,0,-0.9,15.7,58.50%,9.3,32.60%,59.50%,3.3,76.90%,21.50%,17.00%,5.2,2.1,6.50%,0.4,0.50%,1.3,1.30%,1.5
Charlotte Hornets,Kelly Oubre Jr.,Vet,-0.8,1.2,0.5,-1.3,0.3,0.8,-0.6,20.3,55.60%,13,32.70%,64.10%,4.9,66.10%,24.70%,21.30%,7.9,2,5.80%,0.9,1.00%,1.7,1.70%,1.6
Toronto Raptors,Justin Champagnie,Rookie,-0.8,1.5,-1.1,0.2,-0.8,-1,0.3,12.6,49.60%,6.6,31.60%,55.30%,2.8,75.90%,24.00%,13.50%,10.2,2.3,7.40%,0.8,0.90%,1.3,1.50%,2
San Antonio Spurs,Zach Collins,Vet,-0.8,0.3,-1.6,0.8,-0.6,-1.6,1,14.9,53.20%,4,31.30%,23.30%,5.7,74.90%,37.80%,18.90%,14,4.6,13.90%,2.2,2.30%,1.1,1.10%,3.8
Orlando Magic,Moritz Wagner,Vet,-0.9,0.3,0.2,-1,0.2,1,-0.7,18.7,62.10%,9.5,32.60%,50.30%,5.9,79.50%,31.70%,22.50%,12,4.1,13.60%,0.8,0.90%,1.2,1.20%,2.8
Orlando Magic,Markelle Fultz,Vet,-0.9,0.4,-0.3,-0.5,-0.5,0.4,-0.9,22.6,48.40%,2.4,27.40%,16.30%,4.3,77.20%,19.90%,25.50%,6.3,11.5,42.30%,0.6,0.60%,2.1,2.10%,4.7
Sacramento Kings,Chimezie Metu,Vet,-0.9,1.7,-0.9,0.1,-0.9,-1,0.2,16,53.00%,6.3,32.60%,39.70%,3.8,77.10%,23.90%,18.70%,12.3,2.2,6.40%,1.1,1.30%,1.7,1.80%,2.2
New York Knicks,RJ Barrett,Vet,-0.9,-0.4,0.3,-1.2,-1.4,0.4,-1.8,26.2,46.70%,8.3,33.40%,31.50%,10.7,69.10%,40.70%,29.10%,8,4.4,16.20%,0.4,0.40%,1,1.00%,3.7
Golden State Warriors,Juan Toscano-Anderson,Vet,-0.9,0.3,-1.6,0.7,-0.7,-1.5,0.9,11.4,56.80%,5,31.60%,43.10%,3.8,56.80%,30.30%,14.50%,9.6,6,17.10%,0.9,1.10%,2.1,2.10%,3.1
Cleveland Cavaliers,Dylan Windler,Vet,-0.9,-0.2,-1.4,0.5,-0.8,-1.3,0.5,10.2,51.20%,6.9,32.90%,67.50%,3,74.90%,25.30%,11.70%,9.9,3.2,9.30%,0.6,0.60%,1.5,1.60%,2.1
New York Knicks,Evan Fournier,Vet,-0.9,-1.2,0,-0.8,-0.4,0.7,-1.1,18.9,48.90%,14,37.70%,70.70%,2.6,74.40%,15.90%,19.60%,4.5,4,12.10%,0.5,0.60%,1.6,1.60%,2.1
Memphis Grizzlies,Tyrell Terry,Sophomore,-0.9,0.7,-0.8,-0.1,-0.9,-0.8,-0.1,16.1,49.80%,6.5,25.00%,39.40%,5,76.00%,27.70%,19.40%,7.1,4.8,16.80%,0.6,0.70%,1.9,2.00%,2.5
Minnesota Timberwolves,Jaden McDaniels,Sophomore,-0.9,1,-1,0.1,-1.5,-1.4,-0.1,13.8,55.30%,7.6,34.60%,54.00%,2.7,77.50%,20.30%,15.20%,7.5,2.1,5.70%,1.9,2.20%,1.2,1.20%,1.6
Minnesota Timberwolves,Jaylen Nowell,Vet,-0.9,0.5,0.1,-1,-1,0,-1,21.6,50.40%,9.4,32.40%,47.20%,5.2,76.70%,25.00%,22.40%,5.9,5.6,16.20%,0.5,0.60%,1.4,1.40%,2.2
New York Knicks,Julius Randle,Vet,-0.9,-2,0.1,-1,0.6,0.9,-0.4,25.5,46.00%,8.7,31.70%,35.50%,9.5,74.80%,38.70%,28.90%,13.5,7,24.30%,0.7,0.70%,1.1,1.10%,4.8
New Orleans Pelicans,Gary Clark,Vet,-0.9,0.3,-0.9,0,-0.5,-0.8,0.3,11.7,45.10%,9,32.70%,71.90%,2.2,72.70%,18.00%,12.20%,11.1,2.4,7.10%,0.9,1.10%,1.2,1.30%,1.6
Philadelphia 76ers,Georges Niang,Vet,-0.9,-0.3,-0.4,-0.5,-1,-0.6,-0.5,13.8,51.90%,11.1,37.60%,81.00%,1.5,84.70%,13.30%,13.40%,6,2.4,6.80%,0.4,0.50%,0.9,0.90%,1.3
Detroit Pistons,Hamidou Diallo,Vet,-0.9,1.8,-1.1,0.2,-0.3,-0.4,0.1,21,51.50%,4,29.10%,21.10%,6.4,60.40%,32.80%,22.80%,10.8,3,9.60%,0.7,0.80%,2.2,2.30%,2.5
Boston Celtics,Grant Williams,Vet,-0.9,0.6,-1.1,0.1,-1.2,-1.5,0.3,11.6,55.00%,6.6,36.50%,55.50%,3.2,83.60%,28.50%,12.80%,8,1.5,4.60%,1.7,1.90%,1,1.00%,1.5
San Antonio Spurs,Keita Bates-Diop,Vet,-0.9,0.6,-1.1,0.1,-1.3,-1.1,-0.2,13.8,55.70%,2.7,30.70%,15.50%,3.9,74.00%,27.10%,16.00%,11.5,2.3,6.70%,0.7,0.90%,1.4,1.30%,2.1
Golden State Warriors,Nemanja Bjelica,Vet,-1,-0.3,-1.6,0.7,-1,-1.1,0.1,13.3,51.80%,5.4,31.00%,39.40%,3.7,70.60%,23.70%,16.90%,13,6.7,18.90%,1.2,1.30%,1.6,1.60%,3.5
Denver Nuggets,Markus Howard,Sophomore,-1,1.5,0.3,-1.3,-0.8,0.4,-1.2,23.8,47.80%,15.6,34.60%,56.90%,5.2,81.10%,27.70%,25.90%,4.6,3.7,13.50%,0.3,0.30%,1.6,1.70%,2.7
San Antonio Spurs,Devontae Cacok,Vet,-1,0.9,-0.9,-0.1,-1,-0.9,-0.1,12.2,56.80%,1,17.60%,5.80%,3.6,61.60%,29.00%,14.30%,15.2,2.4,6.80%,1.7,2.10%,1.8,1.90%,1.9
Oklahoma City Thunder,Derrick Favors,Vet,-1,-0.7,-2.5,1.5,-0.8,-1.7,0.9,12.3,57.60%,1.8,26.80%,10.60%,3,65.80%,24.30%,12.90%,15.1,1.9,6.00%,2,2.10%,1.3,1.30%,1.3
Philadelphia 76ers,Furkan Korkmaz,Vet,-1,-1.3,-0.4,-0.6,-1.4,-0.6,-0.8,14.9,48.00%,8.7,34.40%,57.80%,3.6,74.20%,23.50%,15.80%,6,3.4,9.90%,0.5,0.60%,1.4,1.30%,1.6
Los Angeles Lakers,Stanley Johnson,Vet,-1,1,-1.1,0.1,-1.2,-1.4,0.2,11.2,51.50%,5,32.00%,43.50%,3.5,71.80%,26.20%,13.20%,7.7,3.2,9.70%,0.6,0.80%,2,2.00%,1.9
